"Name_val","Name_@footnote","Location_val","ContractDates_PriorYear_val","ContractDates_PriorYear_@footnote","ContractDates_CurrentYear_val","ContractDates_CurrentYear_@footnote","ContractDates_BudgetYearOne_val","ContractDates_BudgetYearOne_@footnote","ContractDates_BudgetYearTwo_val","ContractDates_BudgetYearThree_val","ContractDates_BudgetYearFour_val","ContractDates_BudgetYearFive_val","DeliveryDates_PriorYear_val","DeliveryDates_CurrentYear_val","DeliveryDates_BudgetYearOne_val","DeliveryDates_BudgetYearTwo_val","DeliveryDates_BudgetYearThree_val","DeliveryDates_BudgetYearFour_val","DeliveryDates_BudgetYearFive_val","AdminLeadTimeAfterOct1InMonths_val","ProductionLeadTimeAfterOct1InMonths_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Various","T-38, NU-1B-1, U-6A-2, O-2A-1, UH-72A-5, UV-18A-3","Various","","","2014-12","","2015-12","","","","","","","2015-02","2016-02","","","","","3","2","f40557f8cd3c5ab59199d16bfed449f291daf449-1-15b9fe24c7fdfb08a9cf337dada06fdc683bd121","f40557f8cd3c5ab59199d16bfed449f291daf449","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f40557f8cd3c5ab59199d16bfed449f291daf449-0-eb659b0cc7e1299b662b5a62f2b1fa5c963ab50a"
"TBD","","TBD","","","","","","","","","","","","","","","","","","","","f40557f8cd3c5ab59199d16bfed449f291daf449-0-d155baca0beeba71ced0f1898fe47a0131a75c17","f40557f8cd3c5ab59199d16bfed449f291daf449","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f40557f8cd3c5ab59199d16bfed449f291daf449-0-b9b605623ccc9cc33a769fa7c6e1e4035eac07a9"
"TBD","Administrative and Procurement lead time for Unecrypted A-Kits (MH-60S) from FY13 - FY16 is 6 months - A-Kits will be procured and installed in the same Fiscal Year (FY). Administrative and Procurement lead time for Encrypted A-Kits (CH/MH-53E, MH/HH-60H/S, MV-22B, UH-1Y) from FY16 - To Complete is 13 months - A-Kits will be procured in one FY and installed in the next.","TBD","2013-12","","2014-12","","2015-12","","2016-12","2017-12","2018-12","2019-12","2014-03","2015-03","2016-03","2017-10","2018-10","2019-10","2020-10","3","3","f40557f8cd3c5ab59199d16bfed449f291daf449-0-4f81fdc59d8c9cead5413ba3cfff2a2858b942fe","f40557f8cd3c5ab59199d16bfed449f291daf449","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f40557f8cd3c5ab59199d16bfed449f291daf449-0-a57a52f9fd4522a702db558b1e3c271eb374010b"
"TBD","","TBD","2013-11","","2014-11","","2015-11","","2016-11","2017-11","2018-11","2019-11","2015-02","2016-02","2017-02","2018-02","2019-02","2020-02","2021-02","2","15","f40557f8cd3c5ab59199d16bfed449f291daf449-0-6cddb86e32b760588e7c3335639579eecf6fdc19","f40557f8cd3c5ab59199d16bfed449f291daf449","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f40557f8cd3c5ab59199d16bfed449f291daf449-0-0f0f4bf892eac994007e91b0e8ac847d62e8bb9b"
"Various","","Various","2014-03","","","","2016-03","","","","","","2014-10","","2016-10","","","","","6","7","f40557f8cd3c5ab59199d16bfed449f291daf449-0-c0ce73741c3bfe0bb5122f78612c95d7495772e5","f40557f8cd3c5ab59199d16bfed449f291daf449","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f40557f8cd3c5ab59199d16bfed449f291daf449-0-495b8396f603999cf2f9b68aefdb3a973688b6e9"
"Government","Contract/Delivery dates are the same because Military Flight Operations Quality Assurance Software is pushed to the client members via Navy Marine Corps Intranet (NMCI). Procurements are delivered to squadrons at installation.","Patuxent River, MD","2013-11","","2014-11","","2015-11","","2016-11","2017-11","2018-11","2019-11","2013-11","2014-11","2015-11","2016-11","2017-11","2018-11","2019-11","2","0","f40557f8cd3c5ab59199d16bfed449f291daf449-0-9088d8a1ddb7ab70c4158b94f5796ec5a969139b","f40557f8cd3c5ab59199d16bfed449f291daf449","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f40557f8cd3c5ab59199d16bfed449f291daf449-0-cc2e3efa1da4457a3688bc3e5c9251c706fe69c4"
"N/A","","N/A","","","","","","","","","","","","","","","","","","","","f40557f8cd3c5ab59199d16bfed449f291daf449-0-8ab1314c07c92c53bab1528f5accdb6e7e01e641","f40557f8cd3c5ab59199d16bfed449f291daf449","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f40557f8cd3c5ab59199d16bfed449f291daf449-0-0cdd3c739ea8896a1cf11a08ab8cde1d05accd69"
"Lockheed Martin","","Various","2014-05","","2015-05","","2016-05","","2017-05","","","","2014-07","2015-07","2016-07","2017-07","","","","7","2","f5128bb241527f5c4ba87073a46f0f755d61c4b9-0-04ee1b0d30d64e0e9c6b7099de21d0f3c3a3a6b2","f5128bb241527f5c4ba87073a46f0f755d61c4b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f5128bb241527f5c4ba87073a46f0f755d61c4b9-0-eed7b904704b8f4c16298c5a8d9ce8bf4b6d6113"
"Unknown","","Unknown","","","","","","","","","","","","","","","","","","0","0","f5128bb241527f5c4ba87073a46f0f755d61c4b9-0-802dc14cf95908a864bd786debe20ca3209ed470","f5128bb241527f5c4ba87073a46f0f755d61c4b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f5128bb241527f5c4ba87073a46f0f755d61c4b9-0-0487b527e55adb895573c8f8544aa7302ca6a8b3"
"Boeing Aerospace","","Long Beach, Ca","2014-04","","","","","","2017-06","","","","2015-06","","","2018-08","","","","6","14","f6042d6d8682e2d6b7c205eaef0f822ebc7a18c0-0-9adb5042c3a2bc728a07732132291ca23c69f3c6","f6042d6d8682e2d6b7c205eaef0f822ebc7a18c0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f6042d6d8682e2d6b7c205eaef0f822ebc7a18c0-0-7f2503ffad7ab7f456d37c8bf145d23ea5c94516"
"Boeing Aerospace","","Long Beach, Ca","2014-04","","","","","","2017-04","","","","2015-06","","","2018-06","","","","6","14","f6042d6d8682e2d6b7c205eaef0f822ebc7a18c0-0-35d0966f2b98fadf8416ffa9bec5556a0668fed7","f6042d6d8682e2d6b7c205eaef0f822ebc7a18c0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f6042d6d8682e2d6b7c205eaef0f822ebc7a18c0-1-1d2ecd8a3cc247c08a624f6ec4dce9ab02509fd6"
"Unknown","","Unknown","2017-10","","","","","","2017-04","","","","","","","","","","","6","14","f6042d6d8682e2d6b7c205eaef0f822ebc7a18c0-0-b67b7c2cd3f96db635fd70fe3b44bcd9e8ec2116","f6042d6d8682e2d6b7c205eaef0f822ebc7a18c0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f6042d6d8682e2d6b7c205eaef0f822ebc7a18c0-2-9bbec851d657a247af7ed0cb003e38718c1624a4"
"RAYTHEON","","Sterling, VA","2014-12","","2015-04","","2015-12","","","","","","2015-07","2015-09","2016-05","","","","","2","5","f8f22453871e5428a037eefb378f50876b1a1a5d-0-5a461323753fd18238b3deaeadd9937e917e85f2","f8f22453871e5428a037eefb378f50876b1a1a5d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f8f22453871e5428a037eefb378f50876b1a1a5d-0-d9384e5603d2a821d09f02f3c6f7564262c451d1"
"Windmill International - Portable Recieve Terminals","","Nashua, NH","2013-12","","2014-12","","2015-12","","","","","","2014-03","2015-03","2016-03","","","","","2","3","f8f22453871e5428a037eefb378f50876b1a1a5d-1-e382e0ca0b2d1d5a04c495af7372a4a637d231ff","f8f22453871e5428a037eefb378f50876b1a1a5d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f8f22453871e5428a037eefb378f50876b1a1a5d-0-d9384e5603d2a821d09f02f3c6f7564262c451d1"
"Harris - CBSP FLV","","Palm Beach, FL","2014-02","","","","2016-02","","","","","","2014-08","","2016-08","","","","","4","6","f8f22453871e5428a037eefb378f50876b1a1a5d-0-883798f66c9e2e9bcd93e1390f46b3ce7abf4205","f8f22453871e5428a037eefb378f50876b1a1a5d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f8f22453871e5428a037eefb378f50876b1a1a5d-0-e1c6f5cd55390a04623bf826742ae46f7498d626"
"Harris - CBSP ULV","","Palm Beach, FL","2014-02","","","","","","","","","","2014-08","","","","","","","3","6","f8f22453871e5428a037eefb378f50876b1a1a5d-1-35b8dbd4121a56bea63fb4e288c0738e7be20845","f8f22453871e5428a037eefb378f50876b1a1a5d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f8f22453871e5428a037eefb378f50876b1a1a5d-0-e1c6f5cd55390a04623bf826742ae46f7498d626"
"VIASAT","Procurement in FY15 allows for a 15 month Intregration, Assembly, and Test activities to occur prior to installation in FY16. Due to the operational relevance of the system, rigorous acceptance test activities must occur prior to fully fielding the system.","Carlsbad, CA.","2014-12","","2015-01","","","","","","","","2015-01","2015-02","","","","","","1","2","f8f22453871e5428a037eefb378f50876b1a1a5d-0-f1a0334a895fd662a778e7dcc4b3e49cb6b032b7","f8f22453871e5428a037eefb378f50876b1a1a5d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f8f22453871e5428a037eefb378f50876b1a1a5d-0-07078b53cb478399ec9a377085b492c9cc04e858"
"L-3","","Salt Lake City, UT","2014-03","","2015-03","","2016-03","","","","","","2014-06","2015-06","2016-06","","","","","5","3","f961a14b7272d77cac3809bd46eeb8ac2d822ffd-0-cedf44b372450b4036ab7ee2c63f4de5490521c3","f961a14b7272d77cac3809bd46eeb8ac2d822ffd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f961a14b7272d77cac3809bd46eeb8ac2d822ffd-0-f6dfaedb73f8cc49adbb3a1c4a378ef77bfb779d"
"Raytheon","","Largo, FL","","","","","","","2017-03","2018-03","","","","","","2017-09","2018-09","","","3","6","f961a14b7272d77cac3809bd46eeb8ac2d822ffd-0-26547952cb21acec2da4ce49039aa04139a793e3","f961a14b7272d77cac3809bd46eeb8ac2d822ffd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f961a14b7272d77cac3809bd46eeb8ac2d822ffd-0-eb84cd96490f0f68414a3a9bdd50bf68be69d545"
"TBD","","TBD","","","","","","","","","","","","","","","","","","","","f9acaded54ab194921f8e856a7550264251cc180-0-de8f4e344bdf5daaeca05c0c21dc18afaad553e7","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-fc4b619ab8ed6072619c4bad261f8449e070109c"
"TBD","","TBD","","","","","","","","","","","","","","","","","","","","f9acaded54ab194921f8e856a7550264251cc180-0-236733088cc3a0682439ec12aef09e3fff643565","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-c61b1c1b3fa18580258d8ad0dff206621db9f456"
"Northrop Grumman - CBR+  (ECP 904 Part 1) - Day Attack","","El Segundo, CA","","","","","","","","","","","","","","","","","","4","7","f9acaded54ab194921f8e856a7550264251cc180-0-955153b7969e4deb50a7317fcd8a842eb542a10c","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-2fe73a64200816f740f76f71b8f5cad73815b551"
"Northrop Grumman - CBR+  (ECP 904 Part 2)","","El Segundo, CA","2013-12","","","","2015-12","","","","","","2016-05","","2018-05","","","","","3","29","f9acaded54ab194921f8e856a7550264251cc180-1-38b72857f2cad9f4f903c524f9a8b4f7f45021f8","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-2fe73a64200816f740f76f71b8f5cad73815b551"
"Boeing - SLEP ECPs","","St Louis, MO","","","2015-03","","2016-03","","2017-03","2018-03","2019-03","2020-03","","2015-10","2016-10","2017-10","2018-10","2019-10","2020-10","6","7","f9acaded54ab194921f8e856a7550264251cc180-2-645e9238b9c05e4a9e7805d9d68f5ed7cc174789","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-2fe73a64200816f740f76f71b8f5cad73815b551"
"Reliant/Northrop Grumman - Fuel Cell Refurb and RIM / Nacelle RIM","","Ft Worth, TX and El Segundo, CA","2013-12","","2014-12","","2015-12","","2016-12","2017-12","2018-12","","2014-04","2015-04","2016-04","2017-04","2018-04","2019-04","","3","4","f9acaded54ab194921f8e856a7550264251cc180-3-e15d7f0285a4497cac3c5e56a3ffad7493f2228c","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-2fe73a64200816f740f76f71b8f5cad73815b551"
"Northrop Grumman - CBR+  (ECP 904 Part 1) - Night Attack","","El Segundo, CA","2014-04","","","","","","","","","","2014-08","","","","","","","7","4","f9acaded54ab194921f8e856a7550264251cc180-4-6a918a3cfb208d8dc082175258d7be8559c73d2d","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-2fe73a64200816f740f76f71b8f5cad73815b551"
"North Island - ECP 1099 NLG Retract Actuator Supports","","San Diego, CA","2013-11","","2014-11","","2015-11","","2016-11","2017-11","2018-11","2019-11","2014-11","2015-11","2016-11","2017-11","2018-11","2019-11","2020-11","2","12","f9acaded54ab194921f8e856a7550264251cc180-5-937dcf668934455ef1fb0b52c4d227565901fd5e","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-2fe73a64200816f740f76f71b8f5cad73815b551"
"TBD","","TBD","","","","","","","","","","","","","","","","","","","","f9acaded54ab194921f8e856a7550264251cc180-0-36740cda75c924df5d72a1738ee211fe6ba94f54","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-99b65324bdfdef405206dbe8b8f6bb8ca1845d3a"
"Various - ECP-1153 (C+)","","Various","","","","","","","","","","","","","","","","","","4","20","f9acaded54ab194921f8e856a7550264251cc180-0-e7d48f6ca54dd2c96887663cdc8dbc38b4da3d25","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-3bc3b8c96bf2635f084005e441f0adae32ee7c82"
"Boeing - C/D A-kits","","St Louis, MO","","","","","","","","","","","","","","","","","","15","16","f9acaded54ab194921f8e856a7550264251cc180-0-0b0b04d9bb2f15e74c1ab5dfd15a3d60ec50d39e","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-d7ecfc600f55802035dd5ef4c1dcd91d45b6e006"
"Boeing - E/F A-kits","","St Louis, MO","","","","","","","","","","","","","","","","","","14","14","f9acaded54ab194921f8e856a7550264251cc180-1-10076412cf4c31f9b8068510994382bc8de1d276","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-d7ecfc600f55802035dd5ef4c1dcd91d45b6e006"
"Raytheon - ATFLIR EOSU ECP 10","","McKinney, TX","2013-12","","2014-12","","2015-12","","","","","","2014-05","2015-05","2016-05","","","","","3","5","f9acaded54ab194921f8e856a7550264251cc180-0-048a4b581a83595dfa854d9ee62e970b412b881a","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-5c36b2df5ff41d0239fe9878f2f6c0c820a68587"
"Boeing - ARDL A6 Kits","","St Louis, MO","","","","","","","","","","","","","","","","","","15","10","f9acaded54ab194921f8e856a7550264251cc180-1-2f5926e0de3d23b025583c4e0a44ff31f9eced0e","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-5c36b2df5ff41d0239fe9878f2f6c0c820a68587"
"Boeing - ARDL (A3, A4, A8, A9)","","St Louis, MO","","","","","","","","","","","","","","","","","","6","6","f9acaded54ab194921f8e856a7550264251cc180-2-03e25ae40789c3c324b25086867be3d73dfa2a1c","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-5c36b2df5ff41d0239fe9878f2f6c0c820a68587"
"N/A","","N/A","","","","","","","","","","","","","","","","","","","","f9acaded54ab194921f8e856a7550264251cc180-0-3b9e71525bbad1823f526c35dd7bcdccc59ff4ee","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-28d19277d550333f89297e853a4a07b2653d880c"
"TBD","","TBD","","","","","","","","","","","","","","","","","","","","f9acaded54ab194921f8e856a7550264251cc180-0-3b0e33899a01f4cf42f8d01614e3835de624773d","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-189d46a5da619218f1437a7be3c22dcccfc1ecdb"
"Various - SSR Mod Installs","","Various","","","","","","","","","","","","","","","","","","12","31","f9acaded54ab194921f8e856a7550264251cc180-0-9e0401bf2ac7be8b8b14a2a24299016e6922c8d1","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-d1ecd8dc088b8e1aacce787b7917aa30ebc279a8"
"Boeing - Civilian ILS","","St Louis, MO","2014-12","","2015-12","","","","","","","","2016-04","2016-07","","","","","","12","28","f9acaded54ab194921f8e856a7550264251cc180-1-0ab8ce638b1572fedf84cf409f284acc2809808a","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-d1ecd8dc088b8e1aacce787b7917aa30ebc279a8"
"Boeing - NAVWAR","","St Louis, MO","","","","","","","2017-03","2018-03","2019-03","","","","","2017-12","2018-12","2019-12","","6","9","f9acaded54ab194921f8e856a7550264251cc180-2-43e35d84175253e39f1858e673800237d436441e","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-d1ecd8dc088b8e1aacce787b7917aa30ebc279a8"
"North Island - F/A-18C/D Cockpit Video Recording System (CVRS)","","San Diego, CA","","","","","","","","","","","","","","","","","","6","6","f9acaded54ab194921f8e856a7550264251cc180-3-cbf6250ecb0be8db921dc9dedcf435cca4d3c4b1","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-d1ecd8dc088b8e1aacce787b7917aa30ebc279a8"
"Northrop Grumman - F/A-18D A-kits val/ver","","Shamburg, IL","","","","","","","","","","","","","","","","","","12","14","f9acaded54ab194921f8e856a7550264251cc180-0-0bc22a96e957ee2804ce98ff77820619dd2f2c78","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-e1a9830532bf1552c2c858e12feb0a8814ed1fbe"
"Northrop Grumman - F/A-18D A-kits","","Shamburg, IL","","","","","","","","","","","","","","","","","","12","25","f9acaded54ab194921f8e856a7550264251cc180-1-27b26de38b4c21576a158f47d00695b32e020720","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-e1a9830532bf1552c2c858e12feb0a8814ed1fbe"
"Northrop Grumman - F/A-18C A-kits","","Shamburg, IL","2014-06","","","","","","","","","","2014-08","","","","","","","9","2","f9acaded54ab194921f8e856a7550264251cc180-2-d9de315dcc03799248dca3972f1f895760993549","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-e1a9830532bf1552c2c858e12feb0a8814ed1fbe"
"Boeing - ECP 6038","","St Louis, MO","2014-06","","2015-06","","","","2017-06","","","","2016-06","2017-06","","2019-06","","","","9","24","f9acaded54ab194921f8e856a7550264251cc180-0-138cd1ed1878722341ff7197b0efc0c6c971213a","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-b2d8acad372412fe456f64d0c15d0b2d5a834ff5"
"Raytheon - ECP 6344","","El Segundo, CA","","","2015-03","","","","2017-03","2018-03","2019-03","2020-03","","2015-10","","2017-10","2018-10","2019-10","2020-10","7","6","f9acaded54ab194921f8e856a7550264251cc180-1-c56dca3e6ec0e00a0b3bca3afa3962860935ada4","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-b2d8acad372412fe456f64d0c15d0b2d5a834ff5"
"Raytheon - ECP 6279","","El Segundo, CA","2014-03","","","","","","","","","","2015-08","","","","","","","6","18","f9acaded54ab194921f8e856a7550264251cc180-2-38689dbbc9880b041724cf5183d6e3c6cb88fd22","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-b2d8acad372412fe456f64d0c15d0b2d5a834ff5"
"Raytheon - ALR-67(V)3","","Forrest, MS","","","","","","","","","","","","","","","","","","4","18","f9acaded54ab194921f8e856a7550264251cc180-0-958e50fe3efda1b027a8c5715aeb6a268f99fcc4","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-c0eab9bf793becad31f7acaf7370fb0371ae5420"
"Raytheon - ALR-67(V)3 (Cong Add)","","Forrest, MS","","","2015-03","","","","","","","","","2016-09","","","","","","6","18","f9acaded54ab194921f8e856a7550264251cc180-1-15fd4b98868baacb12ae5a5c3648ca0d7a35a43e","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-c0eab9bf793becad31f7acaf7370fb0371ae5420"
"Boeing - USSR","","St Louis, MO","2014-03","","","","","","","","","","2016-10","","","","","","","6","30","f9acaded54ab194921f8e856a7550264251cc180-0-4f4a69a2fb92cb209de6e9881f7617196a80dd7e","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-8d7f11ec14cae71335ba5855bced66ea7fe8322e"
"Boeing - DTS A1","","St Louis, MO","2014-09","","2015-01","","2016-01","","","","","","2016-03","2016-07","2017-07","","","","","4","18","f9acaded54ab194921f8e856a7550264251cc180-1-3f21298148ddf8047cf7a9db2a2702f218021ecf","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-8d7f11ec14cae71335ba5855bced66ea7fe8322e"
"Boeing - DMD","","St Louis, MO","2014-03","","2015-03","","","","","","","","2015-04","2016-04","","","","","","6","13","f9acaded54ab194921f8e856a7550264251cc180-2-cbbbba8c08cbb1debd65946362e02f5e64706274","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-8d7f11ec14cae71335ba5855bced66ea7fe8322e"
"Boeing - ANAV","","St Louis, MO","2014-11","","2015-03","","2016-03","","","","","","2016-03","2017-03","2018-03","","","","","6","24","f9acaded54ab194921f8e856a7550264251cc180-3-0f4f4d43d473b90d49371ca4aba19c4214fff6ce","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-8d7f11ec14cae71335ba5855bced66ea7fe8322e"
"Boeing - DMD Replacement","","St Louis, MO","","","2015-01","","2016-01","","","","","","","2016-06","2017-06","","","","","4","15","f9acaded54ab194921f8e856a7550264251cc180-4-091eb03b14a955682fd3db87a6fef6b8161c9d3d","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-8d7f11ec14cae71335ba5855bced66ea7fe8322e"
"DRS - IBS Receiver","","Johnstown, PA","2014-04","","2015-01","","","","","","","","2016-01","2017-01","","","","","","4","18","f9acaded54ab194921f8e856a7550264251cc180-0-2873c73a1cdd60e1c2e5719b659d980175e087ab","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-98973a8a03db43773b193dc44aba3472966eae91"
"TBD","","TBD","","","","","","","","","","","","","","","","","","","","f9acaded54ab194921f8e856a7550264251cc180-0-354df2426245100a46afff54dbe86f2a601b0815","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-421fa753c5af5bf736e4c9935f67ff08dd044c6c"
"TBD","","TBD","","","","","","","","","","","","","","","","","","","","f9acaded54ab194921f8e856a7550264251cc180-0-32a1ffa8ac8c43523d977780775a388053e47ede","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-f9cef103d9ae15304595539692664c764796d310"
"TBD","","TBD","","","","","","","","","","","","","","","","","","","","f9acaded54ab194921f8e856a7550264251cc180-0-768fdc04a3f16696ec2c36bef6df5be92e626fb6","f9acaded54ab194921f8e856a7550264251cc180","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f9acaded54ab194921f8e856a7550264251cc180-0-23196ecc24481b5ff55e0bbf7ea5c7eba1c2f1eb"
