"Name_@footnote","Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_Continuing_val","Cost_TotalCost_BudgetYearFive_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_PriorYear_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_UnitCost_Total_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","ManufacturerList_Manufacturer","AllPriorYearsDeliveries_val","IdCode_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"","Recurring Manufacturing - Manpack","127.5","41.287","","16.123","16.123","","","","","","","","","240","240","","1500","","","","","","","","","67.179","67.179","","85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-9b4371a87fb2afe822ed8a764e5589d513dffdb6-1-96f623bba02c40c483f0e99ea98deeba33e0bcf6","1500","","","9b4371a87fb2afe822ed8a764e5589d513dffdb6-1-ff6c030bba9728bd5e0bdad5f7b8eac2210bcb22","9b4371a87fb2afe822ed8a764e5589d513dffdb6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","9b4371a87fb2afe822ed8a764e5589d513dffdb6-0-bf2d96ca00cb04bbc01c9a2cd618037349e14b79"
"","Support Equipment","0.731","0.333","","0.417","0.417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9b4371a87fb2afe822ed8a764e5589d513dffdb6-2-ff707128b192ccc69a5825958a291927888adc0a","9b4371a87fb2afe822ed8a764e5589d513dffdb6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","9b4371a87fb2afe822ed8a764e5589d513dffdb6-0-bf2d96ca00cb04bbc01c9a2cd618037349e14b79"
"","Fielding","4.405","34.675","6.3","0.616","0.616","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9b4371a87fb2afe822ed8a764e5589d513dffdb6-3-bfcb2c9fbdf99868d3de81cce3fcb233b6f00d50","9b4371a87fb2afe822ed8a764e5589d513dffdb6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","9b4371a87fb2afe822ed8a764e5589d513dffdb6-0-bf2d96ca00cb04bbc01c9a2cd618037349e14b79"
"","Systems Engineering/ Management","15.312","37.816","12.611","5.574","5.574","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9b4371a87fb2afe822ed8a764e5589d513dffdb6-4-eebae482a52066d0d520e307f6344be1b618e538","9b4371a87fb2afe822ed8a764e5589d513dffdb6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","9b4371a87fb2afe822ed8a764e5589d513dffdb6-0-bf2d96ca00cb04bbc01c9a2cd618037349e14b79"
"","Data","","","","0.084","0.084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9b4371a87fb2afe822ed8a764e5589d513dffdb6-5-66ad1166cfa742477872d86de7aeff300b8176d2","9b4371a87fb2afe822ed8a764e5589d513dffdb6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","9b4371a87fb2afe822ed8a764e5589d513dffdb6-0-bf2d96ca00cb04bbc01c9a2cd618037349e14b79"
"","Vehicle Integration","11.232","60.995","","1.916","1.916","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9b4371a87fb2afe822ed8a764e5589d513dffdb6-6-aae782f24f0b69ab0ae6f0ede7d83c3859880128","9b4371a87fb2afe822ed8a764e5589d513dffdb6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","9b4371a87fb2afe822ed8a764e5589d513dffdb6-0-bf2d96ca00cb04bbc01c9a2cd618037349e14b79"
"","Single Channel SRW Capability","20.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9b4371a87fb2afe822ed8a764e5589d513dffdb6-7-31bcf55d936ecf958a4e309d52e52cc468f20854","9b4371a87fb2afe822ed8a764e5589d513dffdb6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","9b4371a87fb2afe822ed8a764e5589d513dffdb6-0-bf2d96ca00cb04bbc01c9a2cd618037349e14b79"
"","1.1.1) Increment I RRK/EoIP Enhancements","1.83","","","","","","","","","","","","","","","","4","","","","","","","","","","","","457.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9cc8dfd8f60999841172a46b94480ef5701856dc-0-c32b21b4331eabede034784197754614ef3dd7d6","9cc8dfd8f60999841172a46b94480ef5701856dc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","9cc8dfd8f60999841172a46b94480ef5701856dc-0-9dedc689b1e666878ece41d41161a6bef7419e70"
"","Initial Spares","230.364","1.981","","","","0","232.345","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a07dc2e9076bc6ccbbbfe411e39207e94b9cc530-0-7a8791df4a4faf6868ff15399dae95fa1ef259bb","a07dc2e9076bc6ccbbbfe411e39207e94b9cc530","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","a07dc2e9076bc6ccbbbfe411e39207e94b9cc530-0-d8594f695302cf655c0851481375979d658de089"
"","2.1.1) EM540 Technical Support","1.427","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a8765b581f41cd3b2fb2cd0a858625bf76e51971-0-9594d357e3ace34c9da7fda4662876c51cafec69","a8765b581f41cd3b2fb2cd0a858625bf76e51971","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","a8765b581f41cd3b2fb2cd0a858625bf76e51971-1-3e551d40245a219df08571f897c2309291825bfb"
"","4.1.1) FY06 and Prior Subsonic","594.445","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a8765b581f41cd3b2fb2cd0a858625bf76e51971-0-8c6c6bef1133efeaeb28304b31f4dcfb7847d1f1","a8765b581f41cd3b2fb2cd0a858625bf76e51971","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","a8765b581f41cd3b2fb2cd0a858625bf76e51971-3-6ce2e11cbf2607ab9269151d3d01b8c5e33c720f"
"","5.1.1) FY06 and Prior","245.008","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a8765b581f41cd3b2fb2cd0a858625bf76e51971-0-8b11382f73756afdfff4fa8765cc61d23ed1fd25","a8765b581f41cd3b2fb2cd0a858625bf76e51971","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","a8765b581f41cd3b2fb2cd0a858625bf76e51971-4-3a5b762cd68e737bf4ed807bf992685a7002fb28"
"","2.1.1) FY06 and Prior","295.127","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a8765b581f41cd3b2fb2cd0a858625bf76e51971-0-8edd9f4f425b9c6bb9e1e5e8fb8d82b4403f78fa","a8765b581f41cd3b2fb2cd0a858625bf76e51971","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","a8765b581f41cd3b2fb2cd0a858625bf76e51971-1-c43fa56a2f920a75d8e383b197f714ff86a94584"
"","3.1.1) Prior Year Costs no longer financed beyond 1995","1992.884","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a8765b581f41cd3b2fb2cd0a858625bf76e51971-0-f68e1d1a8dfb9e9fb33e83ee263e31244946c6ea","a8765b581f41cd3b2fb2cd0a858625bf76e51971","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","a8765b581f41cd3b2fb2cd0a858625bf76e51971-2-f9dc463d5d7c37e9796713543f6d2939674b02b7"
"Cost Element 1.2.1- FY14 funding provided to implement software product improvements in the production line to facilitate an open, modular software architecture for future post production modification and sustainment.","1.2.1) Non-Recur Cost","226.431","10.483","18.615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b65411babcc2b39f15924aadc6fecc3770ef6b82-0-040a2353899fde12b0f6e6ebe003273d0c309b35","b65411babcc2b39f15924aadc6fecc3770ef6b82","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","b65411babcc2b39f15924aadc6fecc3770ef6b82-0-bbdea6b3dfd4c9bc8b455d2e25529c3b39602b58"
"","1.2.2) Ancillary Equipment","698.045","30.532","6.447","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b65411babcc2b39f15924aadc6fecc3770ef6b82-1-e45ac622488e32567824d56950df5933f48c024f","b65411babcc2b39f15924aadc6fecc3770ef6b82","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","b65411babcc2b39f15924aadc6fecc3770ef6b82-0-bbdea6b3dfd4c9bc8b455d2e25529c3b39602b58"
"RQ-21 utilizes an Interim Contractor Support (ICS) strategy to sustain RQ-21A systems prior to material support date (MSD) in accordance with Financial Management Regulations.  ICS is funded within procurement appropriation prior to MSD. ICS includes logistics support for existing and newly procured RQ-21A systems and funds prime contractor logistics support, field service representatives, repair of repairables, and mobile training teams.  ICS transitions to organic support in FY18 after which logistics support for fielded systems will be funded with O&M. RQ-21A has an associated Procurement Marine Corps (PMC) 7000 funding account that provides for the procurement of initial spares.","1.2.1) ICS","","11.5","12.616","17.564","17.564","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b6a4f150e3a37d97cae219dfc34a109c68fb4365-0-319e65f7f70056d13fdf981d80760b842f1562ac","b6a4f150e3a37d97cae219dfc34a109c68fb4365","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","b6a4f150e3a37d97cae219dfc34a109c68fb4365-0-aa03752d54ad2ed9a7350fcb2cea613cbccc825d"
"Ship Installation includes the procurement of infrastructure hardware, equipment, and labor costs associated with actual amphibious ship class installations in support of the RQ-21A program.  Ship hardware includes directional and omni-directional antennas and amplifiers, antenna interface modules (AIMs), monitors, cross domain solution (TIPs), power distribution panels, associated cables, fiber optics lines, operational system racks and cabinets, and connectors.  Labor associated with ship installation includes the contracted Alteration Installation Team (AIT) conducting the installation and OEM post install system integration test support.  The program intends to complete two ship installs in FY16, tentatively planned for the USS SAN DIEGO (LPD 22) and USS SOMERSET (LPD 25).  Preliminary work for these ship installations includes (1) the planning yard ship check; (2) Ship Installation Drawings (SIDs) delivery.  The current schedule completes 2 ship installs in FY16, (LPDs 22 and 25); 1 in FY17 (LPD 26) and 1 in FY18 (LPD 27) completing the LPD 17 class ship inventory.  In FY19 and beyond, ship installation shifts focus from LPD class ships and commences installation on LHD/LHA Class ships.","1.2.2) Ship Installation","","4.946","5.04","5.136","5.136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b6a4f150e3a37d97cae219dfc34a109c68fb4365-1-f4687c6c94991baccc0cf1ab4bb0d1e81b0a81c0","b6a4f150e3a37d97cae219dfc34a109c68fb4365","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","b6a4f150e3a37d97cae219dfc34a109c68fb4365-0-aa03752d54ad2ed9a7350fcb2cea613cbccc825d"
"","1.2.1) Non-Recurring Cost","270.465","46.028","50.929","51.849","51.849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b992838ada5beb43b58553649f864ac799211642-0-ee9a2812d0b563b833fae468381c678f51ecd0f6","b992838ada5beb43b58553649f864ac799211642","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","b992838ada5beb43b58553649f864ac799211642-0-8d8e2cfed146198660a967c1df7b62db0b517d6c"
"Non-recurring Costs include such items as DoN share of Production Non-Recurring Tooling per the Joint Strike Fighter (JSF) Production, Sustainment, and Follow-on-Development Memorandum of Understanding (MOU) between the U.S. and eight partner nations cooperating in the production, sustainment and follow-on development of the JSF.  In addition, it includes funding for Diminishing Manufacturing, concurrency engineering, technical assistance and Cost Reduction Intiatives (CRI).","1.2.1) Non- Recur Cost","1289.739","67.29","112.283","104.842","104.842","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bcb4bf5ede0ca5aa53fecdb48fd27d12bb9b9e9e-0-89567ff9bf16f8385508f426bd6ed0a17bad755f","bcb4bf5ede0ca5aa53fecdb48fd27d12bb9b9e9e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","bcb4bf5ede0ca5aa53fecdb48fd27d12bb9b9e9e-0-25ad3ccdacec71b04b4f959365dfc5b872b13547"
"","1.2.2) Ancillary Equip","261.372","26.708","26.049","24.718","24.718","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bcb4bf5ede0ca5aa53fecdb48fd27d12bb9b9e9e-1-c6722e3e5f95ad09ddb7ec8623dacc0af74584b0","bcb4bf5ede0ca5aa53fecdb48fd27d12bb9b9e9e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","bcb4bf5ede0ca5aa53fecdb48fd27d12bb9b9e9e-0-25ad3ccdacec71b04b4f959365dfc5b872b13547"
"","1.2.1) Non-Recur Cost","125.857","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c53901fbea2fd77bc3efdc26916cba7566e8ed0e-0-3e93ed7fbadf615435f73e295f884b29b4c79cf4","c53901fbea2fd77bc3efdc26916cba7566e8ed0e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","c53901fbea2fd77bc3efdc26916cba7566e8ed0e-0-db43b6944d0f17070f9185be4281ed9fd3d0e75e"
"","1.2.2) Ancillary Equip","14.815","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c53901fbea2fd77bc3efdc26916cba7566e8ed0e-1-f4c20bd0cf76ae1573452632973d53ecedbb52d8","c53901fbea2fd77bc3efdc26916cba7566e8ed0e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","c53901fbea2fd77bc3efdc26916cba7566e8ed0e-0-db43b6944d0f17070f9185be4281ed9fd3d0e75e"
"","1.2.1) Non-Recur Cost","123.843","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c53901fbea2fd77bc3efdc26916cba7566e8ed0e-0-cf174e574d42d245f6a24db554b22b54c8a90c44","c53901fbea2fd77bc3efdc26916cba7566e8ed0e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","c53901fbea2fd77bc3efdc26916cba7566e8ed0e-0-67f2bf27c3ccb4eb045921f45e0d362a1c4d2005"
"Armament and Ancillary changes due to realignment between cost codes of AH-1Z mission-required components such as M-299 missile launchers and turret components.  AH-1Z Armament also includes gun barrels and M-197 20 mm guns previously harvested at no cost from AH-1W aircraft which must now be procured new, at cost, for all future lots beginning in FY 2015 Lot 12 due to unavailability of legacy components.","1.2.2) Ancillary Equip","186.989","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c53901fbea2fd77bc3efdc26916cba7566e8ed0e-1-3aaf03530aa52a134f5e0d168a0a8d47870a091d","c53901fbea2fd77bc3efdc26916cba7566e8ed0e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","c53901fbea2fd77bc3efdc26916cba7566e8ed0e-0-67f2bf27c3ccb4eb045921f45e0d362a1c4d2005"
"","Interim Patient Handling System (IMMSS)","","6.807","2.844","3.606","3.606","","","","","","","","","14","14","46","","10","","","","","","","","257.57","257.57","147.98","","284.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-c793fd261245ca3d8131d8db1d7300b7b3d7fd53-0-02954a55d7d936ab68bb050d2c410ecbc7a6df04","","","","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-0-236a892c3e20ee34214bc7718eedcd08ce1befaa","c793fd261245ca3d8131d8db1d7300b7b3d7fd53","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-0-37698b8260c93c679e4ccf54a9d307d19d825b0f"
"Fiscal Years 2016 and 2017 provides funding for costs associated with the production line shut down of the JPATS T-6 Texan II program; this includes but is not limited to tooling, data rights, and other required contractor support.","1.2.1) Non-recurring cost","55.919","17.485","","8.914","8.914","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c862d5bf477390f0069b1451170944125fe69937-0-4071224ca6b841bdd1e72f8822d74e306794ab40","c862d5bf477390f0069b1451170944125fe69937","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","c862d5bf477390f0069b1451170944125fe69937-0-704c00b54b33390940efe2c0116b74bd4b5da52a"
"","PRODUCTION FACILITIZATION","28.131","","","3.343","3.343","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cfba36d0bdc1f7524ff279efac9e86931045c18c-0-70b48dfcfa9472471987b6d0b9224b8dcc2cc709","cfba36d0bdc1f7524ff279efac9e86931045c18c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","cfba36d0bdc1f7524ff279efac9e86931045c18c-0-6263306c2113febeb6526960cab6d99df890b568"
"","5.1.1) GCCS-M Increment 2 Ashore Training Curriculum","0.527","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d0891282b34adaca17a01c2a1d061ebca8050b79-0-7d6ae1901897d83e20507ade54b03ce79c97bd3c","d0891282b34adaca17a01c2a1d061ebca8050b79","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","d0891282b34adaca17a01c2a1d061ebca8050b79-4-dddcd23cb95f09cdacf0582c00b54a1b03d4f499"
"","2.1.1) SPECIAL TOOLING AND TEST EQUIPMENT","84.938","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dcfcadf5cb6153db9ef3655bf5660717e05bdaa5-0-5154535836d562b4f192b8d56468428232a96014","dcfcadf5cb6153db9ef3655bf5660717e05bdaa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","dcfcadf5cb6153db9ef3655bf5660717e05bdaa5-1-624f9587c03212f22f46275de5b181947293f3f6"
"Containers are required to maintain pace with quantities, ensure the updated in-container reprogramming capability continues and replace outdated/damaged containers.  The containers are funded every four years.","2.1.2) CONTAINERS","3.73","1.474","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dcfcadf5cb6153db9ef3655bf5660717e05bdaa5-1-05a06e460780c9d16ac1f1ffa35ae5371174dde9","dcfcadf5cb6153db9ef3655bf5660717e05bdaa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","dcfcadf5cb6153db9ef3655bf5660717e05bdaa5-1-624f9587c03212f22f46275de5b181947293f3f6"
"","1.2.1) Non-Recur Cost","0.196","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","df3f56f6d2270c9d8ac520ea3225b5638665267f-0-7655237664eaea6827513bf684a1538cea80223f","df3f56f6d2270c9d8ac520ea3225b5638665267f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","df3f56f6d2270c9d8ac520ea3225b5638665267f-0-d0e1a618091f14349fea1162d2d801f47c63e7d6"
"","1.2.2) Ancillary Equip","1.954","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","df3f56f6d2270c9d8ac520ea3225b5638665267f-1-ff9e645dd4634b25162e218f2823d5df203bcc98","df3f56f6d2270c9d8ac520ea3225b5638665267f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","df3f56f6d2270c9d8ac520ea3225b5638665267f-0-d0e1a618091f14349fea1162d2d801f47c63e7d6"
"","1.2.1) Non-Recurring Cost","854.525","5.71","7.624","2.599","2.599","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ea44340975568d173a5c23182d67ccbb3d155c9e-0-2058d4de80a929bcf075b7b3afa7710fc331ea2e","ea44340975568d173a5c23182d67ccbb3d155c9e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","ea44340975568d173a5c23182d67ccbb3d155c9e-0-9b9a0f39df28d6bd2a222ec8f4772e9d955f373a"
"","1.2.2) Ancillary Equipment","113.124","13.998","8.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ea44340975568d173a5c23182d67ccbb3d155c9e-1-9eaadbaf66c643699d5d0bde7ba349738245774d","ea44340975568d173a5c23182d67ccbb3d155c9e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","ea44340975568d173a5c23182d67ccbb3d155c9e-0-9b9a0f39df28d6bd2a222ec8f4772e9d955f373a"
"","1.2.3) Other","293.844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ea44340975568d173a5c23182d67ccbb3d155c9e-2-9432ad53dd5eb57a78c7282be89a9ff963fe5601","ea44340975568d173a5c23182d67ccbb3d155c9e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","ea44340975568d173a5c23182d67ccbb3d155c9e-0-9b9a0f39df28d6bd2a222ec8f4772e9d955f373a"
"","Logistics Products","","","12.962","7.055","7.055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","eaf4ca3acc415b5ae5b83f9784a6aefeeacd003b-0-f69530fc2d8fb70ae1316665937466f6519f593a","eaf4ca3acc415b5ae5b83f9784a6aefeeacd003b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","eaf4ca3acc415b5ae5b83f9784a6aefeeacd003b-0-b0e43b7fa65828b368c7f7f488c92da695254e4d"
"","1.2.1) Precision Lightweight Universal Mortar Setter System","","","","2.5","2.5","","","","","","","","","100","100","","","","","","","","","","","25000","25000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-fa4ec5b12c597375239a1c40180004debce5ed40-0-035ce4d9ba889db00b3caf1ddef32a47635f2c84","","","","fa4ec5b12c597375239a1c40180004debce5ed40-0-23b6f726483462a54525539a3473b85d6ae9fde2","fa4ec5b12c597375239a1c40180004debce5ed40","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","fa4ec5b12c597375239a1c40180004debce5ed40-0-acde3209d5bae04943ea865d82acb7b2b1ce2b1c"
