"Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_Continuing_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_AllPriorYears_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_AllPriorYears_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_UnitCost_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearFive_TotalCost_val","ManufacturerList_Manufacturer","IdCode_val","AllPriorYearsDeliveries_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Modification/Tech Insertion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","12.508","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","d5f22e934702c10c003bf006b2412f8b596b6fbf-2-d0bc7065c1fb09c8e16ddf830c1b026960e4a7a5","d5f22e934702c10c003bf006b2412f8b596b6fbf","root.record.ItemExhibitList.P5Item","d5f22e934702c10c003bf006b2412f8b596b6fbf-0-8267d2f01e999f6e1c3a3c62df27496c9f8dede9"
"INTERIM SUPPLY SPT SERVICES/LABOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0","1.366","","","1.657","","","1.697","","","1.697","","","","","","","","","","","","","","","","","A","","e9579637defb84fbaca0223443a9749d2953bc2d-0-f803e7abea6e33b3d657ba28832bce662abdc4c5","e9579637defb84fbaca0223443a9749d2953bc2d","root.record.ItemExhibitList.P5Item","e9579637defb84fbaca0223443a9749d2953bc2d-0-eff5029c17b77f917e4c9ffb14988080135b64d7"
"INTERIM SUPPLY SPT -- Materiel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0","5.63","","","4.95","","","15.758","","","15.758","","","","","","","","","","","","","","","","","A","","e9579637defb84fbaca0223443a9749d2953bc2d-1-4e40437d2929c2cc0ae678aaf396ab3a0f993a4d","e9579637defb84fbaca0223443a9749d2953bc2d","root.record.ItemExhibitList.P5Item","e9579637defb84fbaca0223443a9749d2953bc2d-0-eff5029c17b77f917e4c9ffb14988080135b64d7"
"Domestic Response Capability Contractor Logistics Support","0.000","2.925","2.175","0.000","","0.000","","","","","5.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01dd082524974a202336a468bc68b49c9b0edfe1-0-d1d2200751a7baa1b46c98d1b880448ae7eace0f","01dd082524974a202336a468bc68b49c9b0edfe1","root.record.ItemExhibitList.P5Item","01dd082524974a202336a468bc68b49c9b0edfe1-0-c2af99e07723818b878372e7bbd6a48a69799251"
"Advanced Threat Box Logistics Support","2.381","0.473","0.000","0.000","","0.000","","","","","2.854","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01dd082524974a202336a468bc68b49c9b0edfe1-0-07128af3934df83834706d3e8bfaa0b7cb118b36","01dd082524974a202336a468bc68b49c9b0edfe1","root.record.ItemExhibitList.P5Item","01dd082524974a202336a468bc68b49c9b0edfe1-6-30aa37b6c0d592ff4de8b19c4359dd793659d22c"
"Domestic Response Capability Logistics Support","0.000","3.217","3.24","0.000","","0.000","","","","","6.457","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01dd082524974a202336a468bc68b49c9b0edfe1-1-e9695d0c1273f22f61a71181d6c998a663a6b6a7","01dd082524974a202336a468bc68b49c9b0edfe1","root.record.ItemExhibitList.P5Item","01dd082524974a202336a468bc68b49c9b0edfe1-6-30aa37b6c0d592ff4de8b19c4359dd793659d22c"
"Logistics","4.317","0.476","0.516","3.521","","3.521","","","","","","","","4","3","3","3","","","","","5","0.119","0.172","1.174","1.174","","","","","0.863","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","0bcdab524e05b4e733a87aaff3d403ba8b6d73a9-0-159ede0fd9faf4e23dfb75f2c6fb9cb0498ccfda","0bcdab524e05b4e733a87aaff3d403ba8b6d73a9","root.record.ItemExhibitList.P5Item","0bcdab524e05b4e733a87aaff3d403ba8b6d73a9-0-9874e9f887cf28f5a71cc21658ceaebd1c0d8159"
"INTERIM SUPPLY SPT SERVICES/LABOR:","","1.849","2.232","1.363","","1.363","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","171fa757fcaac4bb75b1b0d88f9085ca799b8137-0-f36950c786ec66153d81e8ad85101abe00afdd5f","171fa757fcaac4bb75b1b0d88f9085ca799b8137","root.record.ItemExhibitList.P5Item","171fa757fcaac4bb75b1b0d88f9085ca799b8137-0-2fefd61fa3bb6c5a96bfa88ff4d400783db4488d"
"INTERIM SUPPLY SPT -- Materiel","","5.546","6.695","4.087","","4.087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","171fa757fcaac4bb75b1b0d88f9085ca799b8137-1-be7e56420dfd89f696a0b5aeeaa2bd307b453724","171fa757fcaac4bb75b1b0d88f9085ca799b8137","root.record.ItemExhibitList.P5Item","171fa757fcaac4bb75b1b0d88f9085ca799b8137-0-2fefd61fa3bb6c5a96bfa88ff4d400783db4488d"
"Training and Fielding","0.000","0.000","0.033","0.000","","0.000","","","","","0.033","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1c122d338ad6dd15c7e37f4ec345d5d79059e739-0-6b92832702c79a162ff781427f3be328d8757d40","1c122d338ad6dd15c7e37f4ec345d5d79059e739","root.record.ItemExhibitList.P5Item","1c122d338ad6dd15c7e37f4ec345d5d79059e739-2-3d88cc60459784fe815b110a1f53bd493887fd42"
"Technical Data","0.000","0.000","0.001","0.000","","0.000","","","","","0.001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1c122d338ad6dd15c7e37f4ec345d5d79059e739-1-0a39f5f01fbce5fd840101e3ccf3add42461de54","1c122d338ad6dd15c7e37f4ec345d5d79059e739","root.record.ItemExhibitList.P5Item","1c122d338ad6dd15c7e37f4ec345d5d79059e739-2-3d88cc60459784fe815b110a1f53bd493887fd42"
"TECHNICAL DATA","0.06","0.000","0.000","0.000","","0.000","0.000","0.000","","0.000","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","206b00e57f5725c6a140976462b6501858345ebc-0-093b9859fe8fec5cb0664b2bd87c1b7bd6384993","206b00e57f5725c6a140976462b6501858345ebc","root.record.ItemExhibitList.P5Item","206b00e57f5725c6a140976462b6501858345ebc-0-a1fb566f7a14fbcea0e0e7c71dc705bedd9271a4"
"TSP Initial Spares","","","","1.59","","1.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6762cc8ad6c1da174872bc4059e00bac5a7927fd-0-6226541e2d391690a3513519ccd8cd36ce02bb24","6762cc8ad6c1da174872bc4059e00bac5a7927fd","root.record.ItemExhibitList.P5Item","6762cc8ad6c1da174872bc4059e00bac5a7927fd-1-8372d1fa24137cf53bd3a0dc8edfe2c74b34de5b"
"Production Support","","0.653","0.664","0.6","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","6c83fcd173d9f0497b8d1b07c769baf820e64d78-0-a10285f4cce859a9a1e48a814794a7cdc465f484","6c83fcd173d9f0497b8d1b07c769baf820e64d78","root.record.ItemExhibitList.P5Item","6c83fcd173d9f0497b8d1b07c769baf820e64d78-1-06f2ff14b50c2812a8f5449f17f51295a70553be"
"Government Support","","0.51","0.51","0.5","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","6c83fcd173d9f0497b8d1b07c769baf820e64d78-1-ed72d105fba4324b15bb44c84c575ad27fac8314","6c83fcd173d9f0497b8d1b07c769baf820e64d78","root.record.ItemExhibitList.P5Item","6c83fcd173d9f0497b8d1b07c769baf820e64d78-1-06f2ff14b50c2812a8f5449f17f51295a70553be"
"NonRecurring Engineering Support","","","","0.358","","0.358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B","","6c83fcd173d9f0497b8d1b07c769baf820e64d78-0-3a517dcf759a261884f689b5b85428c70f445239","6c83fcd173d9f0497b8d1b07c769baf820e64d78","root.record.ItemExhibitList.P5Item","6c83fcd173d9f0497b8d1b07c769baf820e64d78-2-8d6d5af74817916b86120a35201e97727e7ae5a8"
"Support Equipment","","6.892","6.568","0.021","","0.021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B","","6c83fcd173d9f0497b8d1b07c769baf820e64d78-1-f60c2189acc71f5a8d4fb04ab0f7bb68dea95108","6c83fcd173d9f0497b8d1b07c769baf820e64d78","root.record.ItemExhibitList.P5Item","6c83fcd173d9f0497b8d1b07c769baf820e64d78-2-8d6d5af74817916b86120a35201e97727e7ae5a8"
"Stockpile Systems (Nuclear Planning & Execution System)","0.714","0.235","0.684","0.261","","0.261","","","","","","","","1","1","1","1","","","","","","0.235","0.684","0.261","0.261","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-6d9868edf3ffbf4d6733bce623e4af00ee6d91be-0-4ef10583966a11c8f80f5cac67cae6777185f04a","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-0-5423a6dbf7ea582802ecde78a49225a6b990bb62","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-0-d8332e120f945404a7361e9a21af2a16f2be2577"
"NACT Monitoring Site Equipment","","","1.934","1.182","","1.182","","","","","","","","","1","1","1","","","","","","","1.934","1.182","1.182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-6d9868edf3ffbf4d6733bce623e4af00ee6d91be-1-59e18b5c09429d4a82b888b48386fcf7315b4aa8","A","0","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-1-9e827707f81f1af79894549e82b3836d31322ffb","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-0-d8332e120f945404a7361e9a21af2a16f2be2577"
"NACT Infrasound Monitoring Site Installation","","","","0.8","","0.8","","","","","","","","","","1","1","","","","","","","","0.8","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-2705e659c19418c34b2d24868e9cbc532470d5c5","","0","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-553c88cb1de356c1069b3e328fea7140614e5074","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-0-d8332e120f945404a7361e9a21af2a16f2be2577"
"IA Situational Awarness/Command & Control","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-3-73a5092e61d48c61027fffa0d80d4bf7381ddbf5","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-0-d8332e120f945404a7361e9a21af2a16f2be2577"
"Nimble Elder Tactical/Communication Vehicles","1","0.000","0.000","0.5","","0.5","","","","","","","","","","1","1","","","","","","","","0.5","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-6d9868edf3ffbf4d6733bce623e4af00ee6d91be-0-16e3c8bc9a8133378649084fab806af16020984e","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-0-f8f56eba8dfd490ce843184d928479609980e3e4","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-1-932bcc2f1e16d87d95d760c76047f32a359121c6"
"Reachback Computational Servers/Data Storage","0.21","0.38","0.564","0.95","","0.95","","","","","","","","1","1","1","1","","","","","1","0.38","0.564","0.95","0.95","","","","","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-6d9868edf3ffbf4d6733bce623e4af00ee6d91be-0-9241e247d03a27c6f13fa1631a5268de7c33da8b","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-0-b34d8de04ab9863bff11620442d6a7467d801301","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"Reachback Server, Metrological Data","0.123","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","0.123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-1-1e05e4845f22177b05ad452bab188e1a39acfaab","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"Albquerque Physcial Plant Modernization","1.55","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-564b5bc17bd69af767f234f8c70f07c5732980f0","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"DTRA Storage Infrastructure Modernization (Site 1)","","6.117","","","","","","","","","","","","1","","","","","","","","","6.117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-6d9868edf3ffbf4d6733bce623e4af00ee6d91be-3-880fbe522cbc73d709a0a4790b1d6435e6ae53c0","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-3-f0fc3259642c74049b7c21cea16426f985c91ffc","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"DTRA VOIP System (Inlcuding access layer software for Site1 and Site 2)","0.908","4.31","3.11","3.946","","3.946","","","","","","","","1","1","1","1","","","","","","4.31","3.11","3.946","3.946","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-6d9868edf3ffbf4d6733bce623e4af00ee6d91be-4-b179907b56b242da8dca03bde79a25d9b0da626c","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-4-cca4f04b19ecba3a44c21f020e9c5bfa6f4774b2","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"Synchronus MetroCluster (Unclassified)","","","3.35","","","","","","","","","","","","1","","","","","","","","","3.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-6d9868edf3ffbf4d6733bce623e4af00ee6d91be-5-0c78aadd63e1017ce60e4d902dbf55da69126645","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-5-dfc14a596a80822db8e91e38bc1c9f8e9dabe146","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"Reachback Server, Numerical Weather","","0.05","0.196","","","","","","","","","","","1","1","","","","","","","","0.05","0.196","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-6d9868edf3ffbf4d6733bce623e4af00ee6d91be-6-9c9c886e3ee57d3aa4318750187861846db86d1f","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-6-4c7b03f4d541b96272b2f0cb0db918a821530878","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"Software Quality Assurance (SQA) Toolset","","","0.222","","","","","","","","","","","","1","","","","","","","","","0.222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-6d9868edf3ffbf4d6733bce623e4af00ee6d91be-7-4d6875aff8ea38eed697669ec69f6d80d08d49a6","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-7-00dbf890b8e723b3de2a7ccb535f217280ccb364","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"Blue Coat (hardware Proxy Devices) (Red River Computer Company, Fort Belvoir VA)","0.503","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-8-0f63ee1d242ca952ce8b5a3944cf97366daea402","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"Virtual Server Farms Capability, Networks","","","3.326","","","","","","","","","","","","1","","","","","","","","","3.326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-6d9868edf3ffbf4d6733bce623e4af00ee6d91be-9-bb43b520dc039320d88f4440533a9e01b1d4c2d6","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-9-73e2918874cb3d69ef53c32e3c8398cecb5b27be","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"Network Telecom Equipment and Services (5th Signal Command Darmstadt, Germany)","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-10-bde419ca339d343ab1264542431cddab42a1528b","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"Equipment Purchase Phase II","4.362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-11-b1b4a16a0fb146e97177aed26107dab60290aa1c","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"IT Installation Kleber Germany","1.629","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-12-6c2f9cab3b8a5c929a0ebda6538d066133a83159","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"Virtual Desktop Infrastructure (VDI)","2.703","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-13-c3a8400932f43ef0cb0b30796daab898b47cb91b","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"DTRA DMZ and Server Access Architecture Site 1 and 2","2.779","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-14-41ff061a0a339dd9672ad772a3e100d3e5eaa9ed","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"WAN Acceleration and Deep Packet Inspection Infrastructure (Site 1 and Site 2)","4.471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-15-f7932b370cd2d5f51d6e9ec08198e4a3dbf0ae4a","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"Reachback Analyst Workstations and Peripherals","0.107","0.106","","","","","","","","","","","","1","","","","","","","","","0.106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-6d9868edf3ffbf4d6733bce623e4af00ee6d91be-16-84067bc67de58a5680baa106f4a52535a512924d","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-16-cfad9a6baf2e2dacedfd301dc06a200885804030","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"DTRA Server Infrastructure (Site 1 and Site 2)","2.538","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","2.538","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-17-007b428c6156ee8a1b0482dfa6489bd3808e1be9","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"MicroStrategy Business Intelligence Software","","1.176","","","","","","","","","","","","1","","","","","","","","","1.176","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-6d9868edf3ffbf4d6733bce623e4af00ee6d91be-18-6426e8150cdece127cbf76c0587837c1f68f4bc1","A","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-18-318a0610152ab9e7204c2d4e0f652b2e5208409f","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-f268208168c1ff9c7b62b8cea26ba093acc471b8"
"Training and Fielding","0.000","0.000","0.000","0.071","","0.071","","","","","0.071","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7cea011273f84975c4b992945b20dece193ccab4-0-f86dfb9a9d9361d377b8479b53080e526e794522","7cea011273f84975c4b992945b20dece193ccab4","root.record.ItemExhibitList.P5Item","7cea011273f84975c4b992945b20dece193ccab4-6-41336623a1fa480ef4b16b786915d77ee82cd8fd"
"Technical Data","0.000","0.000","0.000","0.001","","0.001","","","","","0.001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7cea011273f84975c4b992945b20dece193ccab4-1-8a7f0c17366d61c5e63940fb65d65d273337cd6c","7cea011273f84975c4b992945b20dece193ccab4","root.record.ItemExhibitList.P5Item","7cea011273f84975c4b992945b20dece193ccab4-6-41336623a1fa480ef4b16b786915d77ee82cd8fd"
"Initial Spares & Repairs","","","2","2.5","","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c70edab0ecd73295fdc4a9bc987c2fd361b92783-0-f65a686b5ef149751d48ba624aa333c7e89755c3","c70edab0ecd73295fdc4a9bc987c2fd361b92783","root.record.ItemExhibitList.P5Item","c70edab0ecd73295fdc4a9bc987c2fd361b92783-0-7ba6292d340466bc8acb616bfe7ad2b0932c583f"
