"ProgramElementNumber_val","ProgramElementFunding_Quantity_AllPriorYears_val","ProgramElementFunding_Quantity_Total_val","ProgramElementFunding_Quantity_PriorYear_val","ProgramElementFunding_Quantity_CurrentYear_val","ProgramElementFunding_Quantity_BudgetYearOneBase_val","ProgramElementFunding_Quantity_BudgetYearOne_val","ProgramElementFunding_Quantity_BudgetYearTwo_val","ProgramElementFunding_Quantity_BudgetYearThree_val","ProgramElementFunding_Quantity_BudgetYearFour_val","ProgramElementFunding_Quantity_BudgetYearFive_val","ProgramElementFunding_Quantity_ToComplete_val","ProgramElementFunding_TotalCost_AllPriorYears_val","ProgramElementFunding_TotalCost_PriorYear_val","ProgramElementFunding_TotalCost_CurrentYear_val","ProgramElementFunding_TotalCost_BudgetYearOneBase_val","ProgramElementFunding_TotalCost_BudgetYearOne_val","ProgramElementFunding_TotalCost_BudgetYearTwo_val","ProgramElementFunding_TotalCost_BudgetYearThree_val","ProgramElementFunding_TotalCost_Total_val","ProgramElementFunding_TotalCost_BudgetYearFour_val","ProgramElementFunding_TotalCost_BudgetYearFive_val","ProgramElementFunding_TotalCost_ToComplete_val","ProgramElementFunding_TotalCost_BudgetYearOneOCO_val","ProgramElementFunding_AllPriorYears_Quantity_val","ProgramElementFunding_AllPriorYears_TotalCost_val","ProgramElementFunding_PriorYear_Quantity_val","ProgramElementFunding_PriorYear_TotalCost_val","ProgramElementFunding_CurrentYear_Quantity_val","ProgramElementFunding_CurrentYear_TotalCost_val","ProgramElementFunding_BudgetYearOneBase_Quantity_val","ProgramElementFunding_BudgetYearOneBase_TotalCost_val","ProgramElementFunding_BudgetYearOneOCO_Quantity_val","ProgramElementFunding_BudgetYearOneOCO_TotalCost_val","ProgramElementFunding_BudgetYearOne_Quantity_val","ProgramElementFunding_BudgetYearOne_TotalCost_val","ProgramElementFunding_BudgetYearTwo_Quantity_val","ProgramElementFunding_BudgetYearTwo_TotalCost_val","ProgramElementFunding_BudgetYearThree_Quantity_val","ProgramElementFunding_BudgetYearThree_TotalCost_val","ProgramElementFunding_BudgetYearFour_Quantity_val","ProgramElementFunding_BudgetYearFour_TotalCost_val","ProgramElementFunding_BudgetYearFive_Quantity_val","ProgramElementFunding_BudgetYearFive_TotalCost_val","ProgramElementFunding_ToComplete_Quantity_val","ProgramElementFunding_ToComplete_TotalCost_val","ProgramElementFunding_Total_Quantity_val","ProgramElementFunding_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0101126F","","","","","","","","","","","","162.988","","","","","","","162.988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3109faf158ed39bf8e2fe1eb34339c1d28decae0-0-aac9071021107d5ba9c054c13bcbc6a6f63146a6","3109faf158ed39bf8e2fe1eb34339c1d28decae0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3109faf158ed39bf8e2fe1eb34339c1d28decae0-0-c1a047dd7673f12ae185faa4715a5938238400a2"
"0101126F","","","","","","","","","","","","49.635","","","","","","","49.635","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3109faf158ed39bf8e2fe1eb34339c1d28decae0-0-fd53a2d8ee1eebe548179b5fa2a07b6d1871e258","3109faf158ed39bf8e2fe1eb34339c1d28decae0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3109faf158ed39bf8e2fe1eb34339c1d28decae0-0-a0d5c982ec9c51a2a5432abbcc8bb6e51ff189c8"
"0101126F","","","","","","","","","","","","166.669","","","","","","","166.669","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3109faf158ed39bf8e2fe1eb34339c1d28decae0-0-57c5162c86fa4cdb6aaad7e67c6721b718b7d5f5","3109faf158ed39bf8e2fe1eb34339c1d28decae0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3109faf158ed39bf8e2fe1eb34339c1d28decae0-0-42e6b4333a7e4909db4ea6ced0d0bef85bfb3754"
"0305220F","","0","","","0","0","","","","","","","","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35617ec48a49a411cef9f8cfb36dfe25540efc93-0-f0b459a509fe6af198a61ccef305f1b26e4652c8","35617ec48a49a411cef9f8cfb36dfe25540efc93","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","35617ec48a49a411cef9f8cfb36dfe25540efc93-0-ee8ca1627168364f1fb375c18993c3b4b633809d"
"0101113F","2","2","","","","","","","","","","286.965","12.108","8.323","11.225","11.225","12.808","9.097","351.895","11.369","","","","","","","","","","","","","","","","","","","","","","","","","","","","46a95bbb6a23155bfc376c4e8dc229b36ab50352-0-5b4096e51a8653bc13a6886cda5411c0768e8833","46a95bbb6a23155bfc376c4e8dc229b36ab50352","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","46a95bbb6a23155bfc376c4e8dc229b36ab50352-0-bc89f12cb2acbb67e5fd2742b8e6347bbcdfbef6"
"0101113F","3","3","","","","","","","","","","72.19","7.373","41.134","60.265","60.265","26.07","15.244","222.276","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46a95bbb6a23155bfc376c4e8dc229b36ab50352-0-f9139a0beeedb23a7adbfd1efb57992bf7c224a8","46a95bbb6a23155bfc376c4e8dc229b36ab50352","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","46a95bbb6a23155bfc376c4e8dc229b36ab50352-0-17a739f2e1172373f05749b7a6f48a4df69b73a3"
"1160482BB","","","","","","","","","","","","8.642","","","","","","","8.642","","","","","","","","","","","","","","","","","","","","","","","","","","","","","625d2ad3cdc64589426583c6f6ec529c6e257072-0-826e542c769e86804753251fc2789c4893cc9962","625d2ad3cdc64589426583c6f6ec529c6e257072","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","625d2ad3cdc64589426583c6f6ec529c6e257072-0-f6af3c408ab125430bd52aef4cc471e1afda9103"
"1160403BB","","","","","","","","","","","","","","7","11.753","11.753","13.501","7.721","53.79","6.839","6.976","","","","","","","","","","","","","","","","","","","","","","","","","","","625d2ad3cdc64589426583c6f6ec529c6e257072-1-afefe09548cf63241b583258c7929cf768662eb4","625d2ad3cdc64589426583c6f6ec529c6e257072","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","625d2ad3cdc64589426583c6f6ec529c6e257072-0-f6af3c408ab125430bd52aef4cc471e1afda9103"
"1160403BB","","","","","","","","","","","","","19.011","7.212","","","","","36.238","1.984","8.031","","","","","","","","","","","","","","","","","","","","","","","","","","","625d2ad3cdc64589426583c6f6ec529c6e257072-0-f36e2bf8e8f560596b5e869de6dbef040d19e0ab","625d2ad3cdc64589426583c6f6ec529c6e257072","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","625d2ad3cdc64589426583c6f6ec529c6e257072-0-9f478d0766a59fb2aa46f7a7df2035f4d2f162ee"
"1160482BB","","","","","","","","","","","","21.445","","","","","","","21.445","","","","","","","","","","","","","","","","","","","","","","","","","","","","","625d2ad3cdc64589426583c6f6ec529c6e257072-0-a4e1665c281a5caf8064d23130d3da7e99566343","625d2ad3cdc64589426583c6f6ec529c6e257072","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","625d2ad3cdc64589426583c6f6ec529c6e257072-0-de246a6a010b70e892f0e104a94b310061335fd8"
"1160403BB","","","","","","","","","","","","","","3","3.032","3.032","4.074","3.287","17.255","2.393","1.469","","","","","","","","","","","","","","","","","","","","","","","","","","","625d2ad3cdc64589426583c6f6ec529c6e257072-0-9274fd5d17429a1cfec650f9a544ff04e3592f0d","625d2ad3cdc64589426583c6f6ec529c6e257072","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","625d2ad3cdc64589426583c6f6ec529c6e257072-0-59e468533d16fecdefc775125d9439b37740924c"
"1160403BB","","","","","","","","","","","","","0.5","2.498","3.45","3.45","","2.189","14.545","2.438","3.47","","","","","","","","","","","","","","","","","","","","","","","","","","","625d2ad3cdc64589426583c6f6ec529c6e257072-0-b159bd537fc61374081f2472141bd4ca91acd0aa","625d2ad3cdc64589426583c6f6ec529c6e257072","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","625d2ad3cdc64589426583c6f6ec529c6e257072-0-88d9bf864d4b9184da41d65d6ee9cc21dd2a6a79"
"1160403BB","","","","","","","","","","","","","","13.5","12.666","12.666","2.677","2.279","36.724","2.773","2.829","","","","","","","","","","","","","","","","","","","","","","","","","","","625d2ad3cdc64589426583c6f6ec529c6e257072-0-ac5414b2c7cab8f3f5719008ed423c76e913f0e3","625d2ad3cdc64589426583c6f6ec529c6e257072","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","625d2ad3cdc64589426583c6f6ec529c6e257072-0-9cd3015c5f129441da14f374f0e5c4dba3bab6ab"
"0401132F","","","","","","","","","","","","","","","26.475","26.475","","","26.475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6a3d52f32ba8b5ba996b2ff8feca7ed33bc2697d-0-5be13dfcbc626c134737f6e52b661ebfe5587757","6a3d52f32ba8b5ba996b2ff8feca7ed33bc2697d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6a3d52f32ba8b5ba996b2ff8feca7ed33bc2697d-0-e6ba4950cd1a070fbd79d4ac03173f1bb27b4689"
"0605213F","","","","","","","","","","","","529.291","88.268","173.647","140.64","140.64","72.467","1.399","1008.59","1.426","1.452","","","","","","","","","","","","","","","","","","","","","","","","","","","805468c357208d570b3a07ce29360236658e89a6-0-3a3d5a36538e38e6baa32a3a831c8dec990150d5","805468c357208d570b3a07ce29360236658e89a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","805468c357208d570b3a07ce29360236658e89a6-0-168ea1213042b54945b9a74a69ebe7c0ad1b849e"
"0207417F","","","","","","","","","","","","96.296","21.554","1.5","","","","","119.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9060b31e1faa3a6068e04bb7256ae46447d2d0e5-0-9ae00078bed017ca7b9b7598c3ab43f32bd5c148","9060b31e1faa3a6068e04bb7256ae46447d2d0e5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9060b31e1faa3a6068e04bb7256ae46447d2d0e5-0-f22e1460eaf5c03ec80b0170e34387ad7db6f0ee"
"0401218F","2","2","","","","","","","","","","50.033","0","0","0","0","0","0","50.033","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","94f53968d47f6d9dc215f3fb5166093ccca001c5-0-ea1ed60a3c5e9938036cca6d4c35e25bf8f43cfc","94f53968d47f6d9dc215f3fb5166093ccca001c5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","94f53968d47f6d9dc215f3fb5166093ccca001c5-0-65e241846fadda8ec20a73f9cb5d69ee9caabc9f"
"0401130F","","","","","","","","","","","","27.411","","","","","","","27.411","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a27f4e07c16205278ad45a6b847404e504ab766f-0-7abafb63a70e2d2114ef753e60fa5f9ca20d0e1d","a27f4e07c16205278ad45a6b847404e504ab766f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a27f4e07c16205278ad45a6b847404e504ab766f-0-506c36d8707f7d0b6ba5db28c60c50d82fa35850"
"0401130F","","","","","","","","","","","","27.889","","","","","","","27.889","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a27f4e07c16205278ad45a6b847404e504ab766f-0-5703f4bf11ab33096d88d76b58074141cc5d9e79","a27f4e07c16205278ad45a6b847404e504ab766f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a27f4e07c16205278ad45a6b847404e504ab766f-0-33ae2a07b10b0567dbbd9d81a2dce86797afa413"
"0604933F","","88","","3","12","12","10","7","16","24","16","117.224","76.553","59.826","142.551","142.551","140.973","180.205","1189.364","169.655","159.157","143.22","","","","","","","","","","","","","","","","","","","","","","","","","","ab3a643420b9d193836d5f352f9119e47fa72874-0-f55716a9d1b7b6c549aa26b81405a182b01b751b","ab3a643420b9d193836d5f352f9119e47fa72874","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ab3a643420b9d193836d5f352f9119e47fa72874-0-0f87dbe9548c9a46636a0dc00d969ff97a15e81e"
"0101213F","","","","","","","","","","","","","","","3.824","3.824","2.939","","6.763","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ab3a643420b9d193836d5f352f9119e47fa72874-0-04a2286beced8698e03f903c8fbc9a82ab7a993e","ab3a643420b9d193836d5f352f9119e47fa72874","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ab3a643420b9d193836d5f352f9119e47fa72874-0-2e72e80f7c249f6bbb6a66f88f01d1908c4260e3"
"0101213F","","7","","","","","7","","","","","","","16.434","29.325","29.325","25.671","26.877","113.607","15.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","ab3a643420b9d193836d5f352f9119e47fa72874-0-6c2c3343e2b9c66878e63ca3aed592e9f3ed307e","ab3a643420b9d193836d5f352f9119e47fa72874","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ab3a643420b9d193836d5f352f9119e47fa72874-0-8d82997fb9b9e63568a352ce6ddbab61001cbf52"
"0101127F","","3","","","1","1","2","","","","","6.219","13.035","45.46","42.07","42.07","16.876","","123.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","adb277cb015590fdd6067659b432c1ca812bd6ea-0-17b83a05cf743f35b634d1a7523da93a72bce88d","adb277cb015590fdd6067659b432c1ca812bd6ea","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adb277cb015590fdd6067659b432c1ca812bd6ea-0-72b36e7171ab52c10aeda4fe7c6ff81ebaff14c3"
"0205219F","","","","","","","","","","","","","104","148.598","123.439","123.439","141.969","149.301","968.853","144.523","157.023","","","","","","","","","","","","","","","","","","","","","","","","","","","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7-0-1fb96c4fb97216df2a637b55ece0ac24e087a391","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7-0-fcf312266eb7c0c1fc5801128ff5f88fce4b62b8"
"0205219F","","","","","","","","","","","","476.981","104","148.598","123.439","123.439","141.969","149.301","1445.834","144.523","157.023","","","","","","","","","","","","","","","","","","","","","","","","","","","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7-0-1bb6dac0082cbe6414f7eb686f9bb7676234741c","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7-0-8726bf54ce6e7d2018c374dfb600e2e3f12cbf62"
"0205219F","","","","","","","","","","","","","","148.598","123.439","123.439","141.969","149.301","864.853","144.523","157.023","","","","","","","","","","","","","","","","","","","","","","","","","","","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7-0-2ae0f4127e6b0e71af75d2c8a6b6b382bc8efc8f","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7-0-12f37adb67dc7085da1ce55dc5e8a0eabdb10308"
"0205219F","","","","","","","","","","","","476.981","104","148.598","123.439","123.439","141.969","149.301","1445.834","144.523","157.023","","","","","","","","","","","","","","","","","","","","","","","","","","","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7-0-401c9489d07427506dd50559b3843a0d16af1166","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7-0-fac01a0e9fddf142df47708441bbf8d89f8258e1"
"0205219F","","","","","","","","","","","","","104","148.598","123.439","123.439","141.969","149.301","968.853","144.523","157.023","","","","","","","","","","","","","","","","","","","","","","","","","","","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7-0-fca6866554ab6aefa92b55d5faf77449ca89a1f2","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7-0-967dbc04eaa1c4d48d08809576b22ac6f5dc45fb"
"0205219F","","","","","","","","","","","","237.612","104","148.598","123.439","123.439","141.969","149.301","1206.465","144.523","157.023","","","","","","","","","","","","","","","","","","","","","","","","","","","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7-0-63b5c7c5c1ca9afe46bc337a3dce49005114df65","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd64bf846bbc4d3c1126b8d5daa4f9acd5c86fd7-0-7ad16ea15b49fe3cd041fe0c9e3d592cd4293b26"
"1160403BB","","","","","","","","","","","","","","1.412","2.375","2.375","","","6.189","1.189","1.213","","","","","","","","","","","","","","","","","","","","","","","","","","","d601e67f4315aba9bc0f34a03fa0b5c6326a1f49-0-15a1cf9c7ec33e55d10ae2e9c40267491ed4d741","d601e67f4315aba9bc0f34a03fa0b5c6326a1f49","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d601e67f4315aba9bc0f34a03fa0b5c6326a1f49-0-f037196247ab52201c20bd6b5525cb78a70088cb"
"1160403BB","","","","","","","","","","","","37.412","23.662","28.642","27.174","27.174","1.866","","118.756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d601e67f4315aba9bc0f34a03fa0b5c6326a1f49-0-d4e9cd2d3cc925eaa50d4644a26af412a23772c5","d601e67f4315aba9bc0f34a03fa0b5c6326a1f49","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d601e67f4315aba9bc0f34a03fa0b5c6326a1f49-0-de4779813fa820e2c4436e7664d755f3f48c87d4"
"0401119F","","","","","","","","","","","","66.447","","","","","","","66.447","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dfbf9536ec77b03bef4a1fb96f0b979e1390674f-0-1523c10b9e1c43c32ed1da972dc06ddd38ab6829","dfbf9536ec77b03bef4a1fb96f0b979e1390674f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dfbf9536ec77b03bef4a1fb96f0b979e1390674f-0-1dc2e43c4b9ff48336c5643dc9b67b97f76dab2e"
"0207134F","","","","","","","","","","","","380.013","","","","","","","380.013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","eaaee2b40009797b434bdbae5cb7ce0b6348fb60-0-3848d064c9a4c169e558e07e897ef311a075c5fb","eaaee2b40009797b434bdbae5cb7ce0b6348fb60","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","eaaee2b40009797b434bdbae5cb7ce0b6348fb60-0-18d80c175c314b1c240fd8df2c95dc13a51aef46"
"0207134F","","","","","","","","","","","","102.39","54.975","84.35","50.468","50.468","109.8","42.817","634.703","189.903","","","","","","","","","","","","","","","","","","","","","","","","","","","","eaaee2b40009797b434bdbae5cb7ce0b6348fb60-0-b71d27f14c273e96ff3f2af44b29f6c1de1e4cd0","eaaee2b40009797b434bdbae5cb7ce0b6348fb60","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","eaaee2b40009797b434bdbae5cb7ce0b6348fb60-0-bcaeef934cb1ce511d8b88e7ca715cd7d35b96a2"
"0207130F","","","","","","","","","","","","65.272","","","","","","","65.272","","","","","","","","","","","","","","","","","","","","","","","","","","","","","eaaee2b40009797b434bdbae5cb7ce0b6348fb60-0-b81964aa020d4774ce7197ad9bfd9cfcc8e66508","eaaee2b40009797b434bdbae5cb7ce0b6348fb60","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","eaaee2b40009797b434bdbae5cb7ce0b6348fb60-0-68a8ed9fb280aa51150c20a0b8ce6fa4fc574422"
"0305202F","","","","","","","","","","","","21.67","13.7","5.511","34.471","34.471","17.414","6.942","101.195","1.487","0","","","","","","","","","","","","","","","","","","","","","","","","","","","f20462f400c84494813de423cf52eaa97d33989a-0-b2d700e2f83bf86604d993824843bef6a73f6bd8","f20462f400c84494813de423cf52eaa97d33989a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f20462f400c84494813de423cf52eaa97d33989a-0-1fe00b392030a55e630d885f414ef27a3ee865f5"
"0302015F","1","1","","","","","","","","","","11.447","","","","","","","11.447","","","","","","","","","","","","","","","","","","","","","","","","","","","","","f961a14b7272d77cac3809bd46eeb8ac2d822ffd-0-cb61c05a68641118b572324eb5ee588634dfdec1","f961a14b7272d77cac3809bd46eeb8ac2d822ffd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f961a14b7272d77cac3809bd46eeb8ac2d822ffd-0-f6dfaedb73f8cc49adbb3a1c4a378ef77bfb779d"
"0302015F","","","","","","","","","","","","","","","24.96","24.96","1.754","0.034","26.748","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","f961a14b7272d77cac3809bd46eeb8ac2d822ffd-0-48d809a1b23cfdcefcb27488b928e1570e77fe9c","f961a14b7272d77cac3809bd46eeb8ac2d822ffd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f961a14b7272d77cac3809bd46eeb8ac2d822ffd-0-eb84cd96490f0f68414a3a9bdd50bf68be69d545"
"0101127F","","","","","","","","","","","","","","","","","","","","","","","","3","376.739","0","52.827","1","57.069","0","6.336","0","0.000","0","6.336","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","4","492.971","00d39061bb6cf1a3704c757ddeffe08ad768d434-0-e3953074c78f45424acf1484bc7bad323a3c8141","00d39061bb6cf1a3704c757ddeffe08ad768d434","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00d39061bb6cf1a3704c757ddeffe08ad768d434-0-5d2b0ddeab58e667f5c73bc6f48f168c32e7345a"
"0101127F","","","","","","","","","","","","","","","","","","","","","","","","0","78.582","0","0.834","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","79.416","00d39061bb6cf1a3704c757ddeffe08ad768d434-0-fa35b9965c0f1a54dec8f4c02cdb286abed427da","00d39061bb6cf1a3704c757ddeffe08ad768d434","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00d39061bb6cf1a3704c757ddeffe08ad768d434-0-ea0d2429ea41d74d1f85a1dccffd8c4fd74d85a0"
"0101127F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","1.323","0","0.411","0","0.000","0","0.411","0","0.417","0","0.425","0","0.434","0","0.439","0","0.000","0","3.449","00d39061bb6cf1a3704c757ddeffe08ad768d434-0-53c364c750119dc6413f278d5eedd345bcd2f220","00d39061bb6cf1a3704c757ddeffe08ad768d434","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00d39061bb6cf1a3704c757ddeffe08ad768d434-0-c654218b6883cf585587aec92d0b5bbbcf5d37e6"
"0207253F","","","","","","","","","","","","","","","","","","","","","","","","0","13.019","0","19.949","0","18.509","0","12.094","0","0.000","0","12.094","0","12.222","0","12.559","0","13.047","0","12.989","0","0.000","0","114.388","086f5258b19005be4593baa1c9cdf9eec7cd1cad-0-ee215ea9824757b4818d20efe512d80c7eb8b793","086f5258b19005be4593baa1c9cdf9eec7cd1cad","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","086f5258b19005be4593baa1c9cdf9eec7cd1cad-0-3e617c2fe3f5db80b59d31fbbfe49e42d3aa85e9"
"0207138F","","","","","","","","","","","","","","","","","","","","","","","","0","40.852","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","40.852","094b114b010621064be6b19ba691583e52d3c19b-0-01f1fe2c0807bc95e1cf136d4ea4342744666106","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-1e0cfd7672ed61f77e520f8a547ede9f74bd848c"
"0207138F","","","","","","","","","","","","","","","","","","","","","","","","0","629.918","0","10.067","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","639.985","094b114b010621064be6b19ba691583e52d3c19b-0-8bd26ba09f98a74823af59f83aab1c6cacd35e98","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-12da7978731af108d28f32d8c9eba0afb082eb7d"
"0207138F","","","","","","","","","","","","","","","","","","","","","","","","0","100.071","0","10","0","14","0","10.754","0","0.000","0","10.754","0","10.669","0","10.277","0","10.903","0","22.547","0","0.000","0","189.221","094b114b010621064be6b19ba691583e52d3c19b-0-49a1969ae6c01513102c750906aad2409ffb144c","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-1e1c99419a253139dcae862b6a4c8e7e0f3178bd"
"0207138F","","","","","","","","","","","","","","","","","","","","","","","","0","2.094","0","0.599","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","2.693","094b114b010621064be6b19ba691583e52d3c19b-0-dec6c4bc9692ad3793ebd71093396e647dce6d58","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-8dab0077a0c200e80f5feb2101ae6c6983fa2d6d"
"0207138F","","","","","","","","","","","","","","","","","","","","","","","","0","0.057","0","0.07","0","0.000","0","1.5","0","0.000","0","1.5","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","1.627","094b114b010621064be6b19ba691583e52d3c19b-0-6cc737c76ffdcc5300c17ad2dcf50b1122f424e6","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-f63513976445fd0821cb1547610eb92435081822"
"0207138F","","","","","","","","","","","","","","","","","","","","","","","","0","23.064","0","10.7","0","12","0","13","0","0.000","0","13","0","11.221","0","11.446","0","13.674","0","14.076","0","0.000","0","109.181","094b114b010621064be6b19ba691583e52d3c19b-0-01c4805da4c3cea3edf931d00adc23f70131177a","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-6c7c6d511e28df448f97a67db306f0429b0ce111"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","2.981","","10.231","","8.55","","","","","","","","","","","","","","","","","","","11386b235a44e4cb40696129ff8b4f42351221de-0-353bd2a10956ec397350ca49979b4760491be122","11386b235a44e4cb40696129ff8b4f42351221de","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","11386b235a44e4cb40696129ff8b4f42351221de-0-9a8bda879eeed34d5f7c2511f0390b44a47e849f"
