"Name_val","Recurring_CostElementList_CostElement","Recurring_CategorySubtotal_TotalCost_AllPriorYears_val","Recurring_CategorySubtotal_TotalCost_PriorYear_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOne_val","Recurring_CategorySubtotal_TotalCost_CurrentYear_val","Recurring_CategorySubtotal_TotalCost_Total_val","Recurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","Recurring_CategorySubtotal_TotalCost_BudgetYearThree_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFour_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFive_val","Recurring_CategorySubtotal_TotalCost_Continuing_val","Recurring_CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CostElementList_CostElement","NonRecurring_CategorySubtotal_TotalCost_CurrentYear_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOne_val","NonRecurring_CategorySubtotal_TotalCost_PriorYear_val","NonRecurring_CategorySubtotal_TotalCost_AllPriorYears_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","NonRecurring_CategorySubtotal_TotalCost_ToComplete_val","NonRecurring_CategorySubtotal_TotalCost_Total_val","NonRecurring_CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearThree_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFour_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-615eaaa2454fb9afd2948a8177e028ea5b1ed8a9-0-856cf518614020b70147125d606a7a5eb6ce30d5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","615eaaa2454fb9afd2948a8177e028ea5b1ed8a9-0-d8774c4bf4c80b0489f81bdfb1a2b9fc629add3d","615eaaa2454fb9afd2948a8177e028ea5b1ed8a9","root.record.ItemExhibitList.P5Item","615eaaa2454fb9afd2948a8177e028ea5b1ed8a9-0-332b13bfbb59d147df456bf7c6cef53b1e56d7d6"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-6296a202a2fd163c0f92b5bea13deb04118899e1-0-e7df7718d9c096971445a6606980a7dd16ada74e","","","","","","","","","","","","","","6296a202a2fd163c0f92b5bea13deb04118899e1-0-f3a804b3b2f1652d4c6ecc37f96e55c9b36c88d7","6296a202a2fd163c0f92b5bea13deb04118899e1","root.record.ItemExhibitList.P5Item","6296a202a2fd163c0f92b5bea13deb04118899e1-0-b7a9540119b6b0a223ae99c36326d42318cbd3af"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-6b867c6023dbdc182f4e0c5812c748017bce22a3-0-76ff13bfd27b1123d915f2d3624866a3e2a0ef12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6b867c6023dbdc182f4e0c5812c748017bce22a3-0-8af069e50356ab89996599a6435ce2e32ffd8e78","6b867c6023dbdc182f4e0c5812c748017bce22a3","root.record.ItemExhibitList.P5Item","6b867c6023dbdc182f4e0c5812c748017bce22a3-0-8c8f34aa605d111c80d707f70a894a7debbeeb09"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-6b867c6023dbdc182f4e0c5812c748017bce22a3-0-85af1731439de7b4cd0ee96229ac7f9b740009fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6b867c6023dbdc182f4e0c5812c748017bce22a3-0-67047adcc911953a5434a3b91f8225d6fe87694a","6b867c6023dbdc182f4e0c5812c748017bce22a3","root.record.ItemExhibitList.P5Item","6b867c6023dbdc182f4e0c5812c748017bce22a3-1-3dccf6e7f5bc47c6d60046b98c6a2635de2bc453"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-6b867c6023dbdc182f4e0c5812c748017bce22a3-0-1b45876148ec07325e21f1dd808a0cbaf4bf1ac0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6b867c6023dbdc182f4e0c5812c748017bce22a3-0-355c59905be6791cecfeb8c85487bcd7b6cf91b0","6b867c6023dbdc182f4e0c5812c748017bce22a3","root.record.ItemExhibitList.P5Item","6b867c6023dbdc182f4e0c5812c748017bce22a3-2-278f9716b9fc54075c83639de7ad4ca3ca81c390"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-6b867c6023dbdc182f4e0c5812c748017bce22a3-0-b5922b0d001a3b85eec27bc9c4878c3e8d2ff5c3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6b867c6023dbdc182f4e0c5812c748017bce22a3-0-ca1e8d4b7da100332f8d89969ce6093c92dd3ed7","6b867c6023dbdc182f4e0c5812c748017bce22a3","root.record.ItemExhibitList.P5Item","6b867c6023dbdc182f4e0c5812c748017bce22a3-3-884833ef9617f270d0f02b675e601eb2867bf090"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-6cf107c335f40e9a4086026de20a6c39c2cf31f9-0-a7bb5a195492851068ad416e5c62e1158754be07","","","","","","","","","","","","","","6cf107c335f40e9a4086026de20a6c39c2cf31f9-0-0b8732337fb6b9cf53cad5099ed809be6f5603d9","6cf107c335f40e9a4086026de20a6c39c2cf31f9","root.record.ItemExhibitList.P5Item","6cf107c335f40e9a4086026de20a6c39c2cf31f9-0-dc9732e6747c66d43bde433d9b2c4908b7de4742"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-6e3f97298ec4f08f19d721b741a47e9ba2e1e392-0-15fbac72b4bf53eeea4dc31ed7292a863f42dae0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6e3f97298ec4f08f19d721b741a47e9ba2e1e392-0-3f109f6da72a544b6ead1d9217d30805bfe894c8","6e3f97298ec4f08f19d721b741a47e9ba2e1e392","root.record.ItemExhibitList.P5Item","6e3f97298ec4f08f19d721b741a47e9ba2e1e392-0-3b7e419b2186862a7d3e5a347831d0051567e2e5"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-7274b55dc30170d36a176539026f257bf9bec0fc-0-10c8e5eedb1c5c4feb9d5a560fdc8bee052af334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7274b55dc30170d36a176539026f257bf9bec0fc-0-d36ecf91a331984cc3a1d3f69bd911db54d377e1","7274b55dc30170d36a176539026f257bf9bec0fc","root.record.ItemExhibitList.P5Item","7274b55dc30170d36a176539026f257bf9bec0fc-0-517bdcdceecea7118bd3039c777ab02877a53ed1"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-7274b55dc30170d36a176539026f257bf9bec0fc-0-4f27503b1ac23c67cb66f352fd4a5910f0079793","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7274b55dc30170d36a176539026f257bf9bec0fc-0-5e014c4635e14f02191385173fa7749275f84f0f","7274b55dc30170d36a176539026f257bf9bec0fc","root.record.ItemExhibitList.P5Item","7274b55dc30170d36a176539026f257bf9bec0fc-1-27c4d722dd98fc118e36e7861bd74480dda2d6ed"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-7274b55dc30170d36a176539026f257bf9bec0fc-0-3b63187443b4cf101bd984098ee9b7113535f510","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7274b55dc30170d36a176539026f257bf9bec0fc-0-ee74fcfa40231ea94f9084b8f356b9d27e81f3a1","7274b55dc30170d36a176539026f257bf9bec0fc","root.record.ItemExhibitList.P5Item","7274b55dc30170d36a176539026f257bf9bec0fc-2-80726cc59152f095d1be1e6e2331362bbbab96d5"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-7274b55dc30170d36a176539026f257bf9bec0fc-0-b646a479593d449fd4d8f3811bc1509ce44389c1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7274b55dc30170d36a176539026f257bf9bec0fc-0-dec3668e2081eb088ce92a675aaf1c1458719da7","7274b55dc30170d36a176539026f257bf9bec0fc","root.record.ItemExhibitList.P5Item","7274b55dc30170d36a176539026f257bf9bec0fc-3-8d5acfe739f638f9e08ae287be9dd6b38fdb32b5"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-7274b55dc30170d36a176539026f257bf9bec0fc-0-a6096af7e20420d1e3b43a3f9eee7a403b2fbd9d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7274b55dc30170d36a176539026f257bf9bec0fc-0-c5e943ac6b1650bd13cd0ca1d5b7f862ab8fa123","7274b55dc30170d36a176539026f257bf9bec0fc","root.record.ItemExhibitList.P5Item","7274b55dc30170d36a176539026f257bf9bec0fc-4-7d607e9ce8d388577f1f2f3dce3ecb49a790f5c7"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-745d68c0e28af9e6a137b372ba105314ca4ef993-0-2267ea6bf4a43b9abffbc6c208cde5a8629ae9b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","745d68c0e28af9e6a137b372ba105314ca4ef993-0-37fdec16b8a8378c770e9754b143da51483b51e5","745d68c0e28af9e6a137b372ba105314ca4ef993","root.record.ItemExhibitList.P5Item","745d68c0e28af9e6a137b372ba105314ca4ef993-0-39954ea084b0c1673b62abc2f298244026065818"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-74f39bd086a7b1c1db2db8afdf7348a667883c15-0-10c22d58388552c8294aa14ed0ee228ec85a8475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74f39bd086a7b1c1db2db8afdf7348a667883c15-0-5fb1fef6b07653d326948c4094e5051571193ba0","74f39bd086a7b1c1db2db8afdf7348a667883c15","root.record.ItemExhibitList.P5Item","74f39bd086a7b1c1db2db8afdf7348a667883c15-0-a1f899713e9803f8c1d45af59d9f0adeba800c4b"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-77d44c124462dac6780fe67db5873d0075492ec6-0-7c05cfbda77d83b1036c105a5bf7ebe1bb34bfe8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77d44c124462dac6780fe67db5873d0075492ec6-0-7f9a3791f067c6bc82004bf996c853d98180e33a","77d44c124462dac6780fe67db5873d0075492ec6","root.record.ItemExhibitList.P5Item","77d44c124462dac6780fe67db5873d0075492ec6-0-fcc554a9418a71b401df50ec10c683503dc2cdcd"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-77d44c124462dac6780fe67db5873d0075492ec6-0-92e09a657967d051ea31628fc96f5b8b9bbad176","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77d44c124462dac6780fe67db5873d0075492ec6-0-5fe0ae9b09ea7dfe0fba9b037f2dd65ee2216926","77d44c124462dac6780fe67db5873d0075492ec6","root.record.ItemExhibitList.P5Item","77d44c124462dac6780fe67db5873d0075492ec6-1-9ed739ca2196a09026bdbd871900b1f3f697cb8a"
"E","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-77d44c124462dac6780fe67db5873d0075492ec6-0-66a866d9c0c10f448b8d84f13286828c8767fdb2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77d44c124462dac6780fe67db5873d0075492ec6-0-fd42102874a501dd1830b21ee38ee3f74b80b827","77d44c124462dac6780fe67db5873d0075492ec6","root.record.ItemExhibitList.P5Item","77d44c124462dac6780fe67db5873d0075492ec6-2-15155ee628ca0c903ef8af257044f3d4775b9564"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-77d44c124462dac6780fe67db5873d0075492ec6-0-2f21eae6892757689922b2be5814265acb08d570","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77d44c124462dac6780fe67db5873d0075492ec6-0-cd1197b405bddcd59ce7f5d387c26f815750c3ed","77d44c124462dac6780fe67db5873d0075492ec6","root.record.ItemExhibitList.P5Item","77d44c124462dac6780fe67db5873d0075492ec6-3-8c1f95914c68962d985997c31f9a3a9e29643d17"
"PNVC","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-77d44c124462dac6780fe67db5873d0075492ec6-0-0eeec3040598b9624b22904a92b1c53b35feac54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77d44c124462dac6780fe67db5873d0075492ec6-0-08b8c4ec455a20eff03d16b803a669bed4e7e263","77d44c124462dac6780fe67db5873d0075492ec6","root.record.ItemExhibitList.P5Item","77d44c124462dac6780fe67db5873d0075492ec6-4-4527a92ebd96edf653b270aec2a0fca2bf5f7a49"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-7b8e9c4087e1573727697c177324c3820f18a1ca-0-e3739122de94fe8bce2959b52c3aca5b91cbd75b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7b8e9c4087e1573727697c177324c3820f18a1ca-0-789bbdca9adc4db03502e44c01c5746a6b1f9aad","7b8e9c4087e1573727697c177324c3820f18a1ca","root.record.ItemExhibitList.P5Item","7b8e9c4087e1573727697c177324c3820f18a1ca-0-50092e5c3cb916ab1f5f5dcb0258c23c81fae624"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-7de1f2324ab5fafea47984d4a3504b783dee8edb-0-552cbdabdb89653c8da9b9111a91b530f9059464","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7de1f2324ab5fafea47984d4a3504b783dee8edb-0-cd1e73fcde90993dc7178f115656a92514b7f095","7de1f2324ab5fafea47984d4a3504b783dee8edb","root.record.ItemExhibitList.P5Item","7de1f2324ab5fafea47984d4a3504b783dee8edb-0-1068b73a1777c23d37aefb581ccad70617d22121"
"Global Combat Support System - Hardware","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8283ccf319639587bd900aeb33e83df5aa15024f-0-83be50f6901b07506f52438e2444638d6aeb25b7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8283ccf319639587bd900aeb33e83df5aa15024f-0-5de9da7dd22b1289d5a3e5b71836b5fdd4a90aad","8283ccf319639587bd900aeb33e83df5aa15024f","root.record.ItemExhibitList.P5Item","8283ccf319639587bd900aeb33e83df5aa15024f-0-92cedc2a236b7e4b7f376579ec4cb3da50590669"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-869b2b2ebd5a5094b7d75c533a90c79cb6450a78-0-94f0a034974c13c2ddd451c557d7ce65d8da0d5b","","","","","","","","","","","","","","869b2b2ebd5a5094b7d75c533a90c79cb6450a78-0-5960dd8af6fa558dbed7fcc882624441a25e8558","869b2b2ebd5a5094b7d75c533a90c79cb6450a78","root.record.ItemExhibitList.P5Item","869b2b2ebd5a5094b7d75c533a90c79cb6450a78-0-0b52c853002ccdbbbb7a6f39dad0ef49bdf72a8e"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8a6a9e999838f4df489e6106a498858048154275-0-0600db568a4e6ffe3479d96c75706d0b5803de87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8a6a9e999838f4df489e6106a498858048154275-0-9c4032efc536c829d3c93f4ab339d23be8d549d1","8a6a9e999838f4df489e6106a498858048154275","root.record.ItemExhibitList.P5Item","8a6a9e999838f4df489e6106a498858048154275-0-568d1ab6b1e72d751ece5a486a9d03789a907a3f"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-908c4a69ffa8b43ff0592c49314d159d24a90a20-0-df541a83910fd5d45b49f0b16144f47bc0561eb5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","908c4a69ffa8b43ff0592c49314d159d24a90a20-0-f0f8c4e78b313f761a08a7d556729a2b6bfe3799","908c4a69ffa8b43ff0592c49314d159d24a90a20","root.record.ItemExhibitList.P5Item","908c4a69ffa8b43ff0592c49314d159d24a90a20-1-fc800e172927301a6718f5952e9b5021f47084b4"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-908c4a69ffa8b43ff0592c49314d159d24a90a20-0-66095e07d7f57113fb9cbc33ef5c1c8811563322","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","908c4a69ffa8b43ff0592c49314d159d24a90a20-0-b9c515b493490ffc3d30955037eb5ec1c50bd4c9","908c4a69ffa8b43ff0592c49314d159d24a90a20","root.record.ItemExhibitList.P5Item","908c4a69ffa8b43ff0592c49314d159d24a90a20-2-dbd955df3d1f4057091c584aad1f93dde8a3f21a"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-908c4a69ffa8b43ff0592c49314d159d24a90a20-0-6cfba9ece1b5e9d327603d06afab84e3a28c765e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","908c4a69ffa8b43ff0592c49314d159d24a90a20-0-f0cd3f471d2ff08f9f775f57ec8ba84f9285139c","908c4a69ffa8b43ff0592c49314d159d24a90a20","root.record.ItemExhibitList.P5Item","908c4a69ffa8b43ff0592c49314d159d24a90a20-3-0cab2fc7941adb6a635ee5a65a26a8c243a3551c"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-908c4a69ffa8b43ff0592c49314d159d24a90a20-0-beeeb530cdc50278e8fe1df0ca0beed600579dc0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","908c4a69ffa8b43ff0592c49314d159d24a90a20-0-a518511d0670adb6d2ffaa64fc81f692f2168ca5","908c4a69ffa8b43ff0592c49314d159d24a90a20","root.record.ItemExhibitList.P5Item","908c4a69ffa8b43ff0592c49314d159d24a90a20-4-41cca2c6a0c74e0a48ee2a52ed19149b2fd9b023"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-908c4a69ffa8b43ff0592c49314d159d24a90a20-0-a8e0a32c71fd6685c957186b27bb1887012b29f5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","908c4a69ffa8b43ff0592c49314d159d24a90a20-0-e12efcf4b0d5cff5436e09d15bece178d11338ec","908c4a69ffa8b43ff0592c49314d159d24a90a20","root.record.ItemExhibitList.P5Item","908c4a69ffa8b43ff0592c49314d159d24a90a20-6-d1fcd8f42bba71894dbc640d35f20ae0934a874c"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-908c4a69ffa8b43ff0592c49314d159d24a90a20-0-94d6f2137efb4136704a1eb46199c617ef4ae576","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","908c4a69ffa8b43ff0592c49314d159d24a90a20-0-b7084c12b53193e7932b982c70ac561c1b91cd1c","908c4a69ffa8b43ff0592c49314d159d24a90a20","root.record.ItemExhibitList.P5Item","908c4a69ffa8b43ff0592c49314d159d24a90a20-7-7017d83bc8c921fc40e4ccad36144742f0818465"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-9112dbfb9a265265343b417a1f53363e1e859190-0-2f78fdd49e1d80dc1e9afbc7228f1529300b18dd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9112dbfb9a265265343b417a1f53363e1e859190-0-1ba92f6bd405b824e8b59e88fd06bdfa57df1c87","9112dbfb9a265265343b417a1f53363e1e859190","root.record.ItemExhibitList.P5Item","9112dbfb9a265265343b417a1f53363e1e859190-0-fba5f1071330e0f74f1a7677f70a00f2a4f73658"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-918383da22b84d3fe363a72cc9e98fff5d0cd153-0-5691b1c9740e3b15643074f7345ba1705304009e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","918383da22b84d3fe363a72cc9e98fff5d0cd153-0-00a1c2cf5bc9a2adabe2d31eba5e58583433fc28","918383da22b84d3fe363a72cc9e98fff5d0cd153","root.record.ItemExhibitList.P5Item","918383da22b84d3fe363a72cc9e98fff5d0cd153-0-6e17a1f017a639b548f0b490c509d5684143c224"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-918383da22b84d3fe363a72cc9e98fff5d0cd153-0-2a74a7dfde74eb3ea270d64e94b2a4781a5b62be","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","918383da22b84d3fe363a72cc9e98fff5d0cd153-0-65508757a46cef75c4545eb3aebbd3af3cf9b73c","918383da22b84d3fe363a72cc9e98fff5d0cd153","root.record.ItemExhibitList.P5Item","918383da22b84d3fe363a72cc9e98fff5d0cd153-1-339a7bb5bedd356b1e4e1eb422109708ae6f495d"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-96132e94ceea0c30b2c94df47a26eb0123ad7710-0-bc5ec08eceade35d76364372bb6e6da42dc27eef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96132e94ceea0c30b2c94df47a26eb0123ad7710-0-21fe4de08fa8d32ddd0160acdfcce91b2e4d4274","96132e94ceea0c30b2c94df47a26eb0123ad7710","root.record.ItemExhibitList.P5Item","96132e94ceea0c30b2c94df47a26eb0123ad7710-0-6711e08886975ee56406398a495ed1e34dfc0e04"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-96132e94ceea0c30b2c94df47a26eb0123ad7710-0-a78fe39662664a66a2588f8b644e14f64ab82e88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96132e94ceea0c30b2c94df47a26eb0123ad7710-0-9891649887273120633c52883a55999b4f791adf","96132e94ceea0c30b2c94df47a26eb0123ad7710","root.record.ItemExhibitList.P5Item","96132e94ceea0c30b2c94df47a26eb0123ad7710-1-87d4c520d1fda8110139bf798951234861df0b66"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-96132e94ceea0c30b2c94df47a26eb0123ad7710-0-bbf7817af426413149c981d04185c8a77b5492ad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96132e94ceea0c30b2c94df47a26eb0123ad7710-0-c78ee72f4ac2d6f3a1504df37521ad528b04954e","96132e94ceea0c30b2c94df47a26eb0123ad7710","root.record.ItemExhibitList.P5Item","96132e94ceea0c30b2c94df47a26eb0123ad7710-2-d7351db412a909089b51e640287867647d64bf6b"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-96132e94ceea0c30b2c94df47a26eb0123ad7710-0-8f521e7c01ef3c7f14a71dbc4905498641bf5468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96132e94ceea0c30b2c94df47a26eb0123ad7710-0-56b42818de18d7b9fd64c8bd8aac5357af38fa8b","96132e94ceea0c30b2c94df47a26eb0123ad7710","root.record.ItemExhibitList.P5Item","96132e94ceea0c30b2c94df47a26eb0123ad7710-3-59de249b17d2fc6bad27d377ebdc0ae444d0239d"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-96132e94ceea0c30b2c94df47a26eb0123ad7710-0-1e380711da2c5aca747dae2dc215a589765f506a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96132e94ceea0c30b2c94df47a26eb0123ad7710-0-25a758d2fd2a17bee74c58eec348005f90f46030","96132e94ceea0c30b2c94df47a26eb0123ad7710","root.record.ItemExhibitList.P5Item","96132e94ceea0c30b2c94df47a26eb0123ad7710-4-8aded095eb7a6ae513e0a62626a5c4505eef90e3"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-964d34d0b75b9d1af12a6e2a42432fe7d45483ef-0-3390de0fcb16d7fa4bbdde6537f94739f96e732b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","964d34d0b75b9d1af12a6e2a42432fe7d45483ef-0-802de0994b90b7e33ea4338f4d6487aaf1ce6193","964d34d0b75b9d1af12a6e2a42432fe7d45483ef","root.record.ItemExhibitList.P5Item","964d34d0b75b9d1af12a6e2a42432fe7d45483ef-0-9fa19d7a0b8e94a6f6d623077bcb119c0e711790"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-9a6311d5d9405fab8519920704e7e65d84b89041-0-612d122325c72270d67af8c0ce96d15f615227a7","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-9a6311d5d9405fab8519920704e7e65d84b89041-0-54884b9ec19f2732e6cae0462ad95755b2f3c15f","","","","","","","","","","","","","","9a6311d5d9405fab8519920704e7e65d84b89041-0-b6bf7196d2e9362271c9390057353186c2831e73","9a6311d5d9405fab8519920704e7e65d84b89041","root.record.ItemExhibitList.P5Item","9a6311d5d9405fab8519920704e7e65d84b89041-0-bedc0c1b4bcf68cc71fa7916931a42663b62f00b"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-9cfa56dc8c1364f699ddcc1dcc648c75c7db3745-0-0d04fb56bdf12088c90ae17b1c7064fde39c62ce","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9cfa56dc8c1364f699ddcc1dcc648c75c7db3745-0-1a003e68e80e1269e5b1b04d897094068992aa7b","9cfa56dc8c1364f699ddcc1dcc648c75c7db3745","root.record.ItemExhibitList.P5Item","9cfa56dc8c1364f699ddcc1dcc648c75c7db3745-0-d8e2f689126bd7a594b2efee7767c8b9401b7441"
