"Name_val","Name_@footnote","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_Continuing_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_Total_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_Total_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_Continuing_val","Cost_Continuing_@footnote","AllPriorYearsDeliveries_val","ManufacturerList_Manufacturer","SubCostElementList_SubCostElement","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"PRODUCTION ENGINEERING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.524","","","1.524","","","","","","0.429","","","1.827","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","4e08c14341b16f86b21b6f64f3cc2686891ef695-0-f4c7e72cb891fb29b23998697be1be03a7dc5c47","4e08c14341b16f86b21b6f64f3cc2686891ef695","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","4e08c14341b16f86b21b6f64f3cc2686891ef695-0-0a46dd8b306418486f4fd4416df40e256c2e42b4"
"QUALITY ASSURANCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.007","","","0.007","","","","","","0.007","","","0.012","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","4e08c14341b16f86b21b6f64f3cc2686891ef695-1-856dacf9ec006012e7ee1fa360198509c4b50c09","4e08c14341b16f86b21b6f64f3cc2686891ef695","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","4e08c14341b16f86b21b6f64f3cc2686891ef695-0-0a46dd8b306418486f4fd4416df40e256c2e42b4"
"FIRST ARTICLE TEST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.109","","","0.109","","","","","","0.034","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","4e08c14341b16f86b21b6f64f3cc2686891ef695-2-69e7b6888f0257619bf0c0283570cd3fafaf01d3","4e08c14341b16f86b21b6f64f3cc2686891ef695","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","4e08c14341b16f86b21b6f64f3cc2686891ef695-0-0a46dd8b306418486f4fd4416df40e256c2e42b4"
"C-4 QUALFICATION  TEST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","","","0.2","","","","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","4e08c14341b16f86b21b6f64f3cc2686891ef695-3-bd84d1ed6c35146810f2cad74236428a147f7d2c","4e08c14341b16f86b21b6f64f3cc2686891ef695","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","4e08c14341b16f86b21b6f64f3cc2686891ef695-0-0a46dd8b306418486f4fd4416df40e256c2e42b4"
"NON-RECURRING ENGINEERING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","","","","0.000","","","0.091","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4e08c14341b16f86b21b6f64f3cc2686891ef695-4-ccb9d8df1aa4d6efda65d935c6595cabbe67dd47","4e08c14341b16f86b21b6f64f3cc2686891ef695","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","4e08c14341b16f86b21b6f64f3cc2686891ef695-0-0a46dd8b306418486f4fd4416df40e256c2e42b4"
"PRODUCTION ENGINEERING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","","","0.34","","","","","","0.000","","","0.773","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","4e08c14341b16f86b21b6f64f3cc2686891ef695-0-1f260a6bcd1aa0c2b7b1613bfa4c4cd680e93229","4e08c14341b16f86b21b6f64f3cc2686891ef695","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","4e08c14341b16f86b21b6f64f3cc2686891ef695-0-a5a6e221e845a77edb858185a21cebecfa96c1bf"
"QUALITY ASSURANCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.002","","","0.002","","","","","","0.000","","","0.002","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","4e08c14341b16f86b21b6f64f3cc2686891ef695-1-4d625448f32e5d7f886a86b91bbe4772c9ee7e75","4e08c14341b16f86b21b6f64f3cc2686891ef695","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","4e08c14341b16f86b21b6f64f3cc2686891ef695-0-a5a6e221e845a77edb858185a21cebecfa96c1bf"
"PRODUCTION ENGINEERING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.637","","","0.637","","","","","","0.000","","","0.69","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","4e08c14341b16f86b21b6f64f3cc2686891ef695-0-0f7f1e5e0086163ac314fa3cbd8b0df09208bed3","4e08c14341b16f86b21b6f64f3cc2686891ef695","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","4e08c14341b16f86b21b6f64f3cc2686891ef695-0-0dcdf05e8230063b7b6b8b6d86788feb836d2568"
"QUALITY ASSURANCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.002","","","0.002","","","","","","0.000","","","0.003","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","4e08c14341b16f86b21b6f64f3cc2686891ef695-1-ed1ac60e43063ae85fa8f647fb924228361d44af","4e08c14341b16f86b21b6f64f3cc2686891ef695","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","4e08c14341b16f86b21b6f64f3cc2686891ef695-0-0dcdf05e8230063b7b6b8b6d86788feb836d2568"
"*GOVERNMENT FURNISHED MATERIAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","","","","0.000","","","-0.003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4e08c14341b16f86b21b6f64f3cc2686891ef695-2-40faeeb44b80fc6531e0d14d711534d98aa483cb","4e08c14341b16f86b21b6f64f3cc2686891ef695","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","4e08c14341b16f86b21b6f64f3cc2686891ef695-0-0dcdf05e8230063b7b6b8b6d86788feb836d2568"
"Field Activities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","37.997","","","0.000","","","0.000","","","0.000","","","0.000","","","37.997","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","4fd61cc657d10bb06469ad604fda2a93c6102031-0-d8ec9aa97e09cdee68b5612d20a4e6208687ed7f","4fd61cc657d10bb06469ad604fda2a93c6102031","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","4fd61cc657d10bb06469ad604fda2a93c6102031-0-ceaf0d32a10950e7714842d7eb1932b446713394"
"ECO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125.7","6.616","19","125.7","6.616","19","161.651","6.466","25","67.579","2.703","25","45.977","2.554","18","0.000","","","2974.59","1.945","1529","3625.297","2.056","1763","80.2","4.221","19","65.1","2.034","32","51.8","1.079","48","52.7","1.098","48","","","","","","","4fd61cc657d10bb06469ad604fda2a93c6102031-1-1872467d9d1ee7098d36a9fcbc768e4e2ed1d9d3","4fd61cc657d10bb06469ad604fda2a93c6102031","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","4fd61cc657d10bb06469ad604fda2a93c6102031-0-ceaf0d32a10950e7714842d7eb1932b446713394"
"Production Eng Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.579","","","62.579","","","158.018","","","46.412","","","110.108","","","0.000","","","1296.586","","","1963.324","","","33.083","","","45.996","","","92.189","","","118.353","","","","","","","","","4fd61cc657d10bb06469ad604fda2a93c6102031-2-a4ba46139f18e809b86e042cd0cbfbe78da7a5c4","4fd61cc657d10bb06469ad604fda2a93c6102031","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","4fd61cc657d10bb06469ad604fda2a93c6102031-0-ceaf0d32a10950e7714842d7eb1932b446713394"
"Miscellaneous Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","4.143","","","0.000","","","0.000","","","0.000","","","0.000","","","4.143","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","4fd61cc657d10bb06469ad604fda2a93c6102031-3-5a1d142f1fd439be8c8942a50e25c6c9608a9322","4fd61cc657d10bb06469ad604fda2a93c6102031","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","4fd61cc657d10bb06469ad604fda2a93c6102031-0-ceaf0d32a10950e7714842d7eb1932b446713394"
"2.1) Other ILS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.952","","","5.952","","","28.258","","","1.923","","","3.807","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50c8c618da48a10dd9d31ebdbe1cf1b6379f5f22-0-822be03f035c93b226fdd847a2fdeb87bb778366","50c8c618da48a10dd9d31ebdbe1cf1b6379f5f22","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","50c8c618da48a10dd9d31ebdbe1cf1b6379f5f22-0-178207f1ee6e297385fb2078327ca2e53bfb4e2b"
"2.2) Production Engineering Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.96","","","11.96","","","31.162","","","18.296","","","11.135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50c8c618da48a10dd9d31ebdbe1cf1b6379f5f22-1-bb389f3351713eea38f30788200f6b3b535cb490","50c8c618da48a10dd9d31ebdbe1cf1b6379f5f22","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","50c8c618da48a10dd9d31ebdbe1cf1b6379f5f22-0-178207f1ee6e297385fb2078327ca2e53bfb4e2b"
"2.3) Pub/Tech Equipment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.548","","","3.548","","","8.855","","","0.15","","","1.983","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50c8c618da48a10dd9d31ebdbe1cf1b6379f5f22-2-17979ca10b05c59ae0da5584c139ce027275e9d1","50c8c618da48a10dd9d31ebdbe1cf1b6379f5f22","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","50c8c618da48a10dd9d31ebdbe1cf1b6379f5f22-0-178207f1ee6e297385fb2078327ca2e53bfb4e2b"
"2.4) Peculiar Training Equipment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.789","","","4.789","","","120.867","","","3.338","","","8.799","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50c8c618da48a10dd9d31ebdbe1cf1b6379f5f22-3-df789311fb39e5eae97e04103ac05059da0b1f9a","50c8c618da48a10dd9d31ebdbe1cf1b6379f5f22","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","50c8c618da48a10dd9d31ebdbe1cf1b6379f5f22-0-178207f1ee6e297385fb2078327ca2e53bfb4e2b"
"2.5) Airframe PGSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.299","","","0.299","","","12.204","","","","","","0.734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50c8c618da48a10dd9d31ebdbe1cf1b6379f5f22-4-78ecc7e5f09c801ffbfe7c5734e37cb5459359c2","50c8c618da48a10dd9d31ebdbe1cf1b6379f5f22","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","50c8c618da48a10dd9d31ebdbe1cf1b6379f5f22-0-178207f1ee6e297385fb2078327ca2e53bfb4e2b"
"Program Management Administration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","0.15","","","0.396","","","0.555","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","529822e57815b9b3c38f471ae39ca345f27e1a56-0-441336c81fa7e6e343e09ac3f024ba48a089c204","529822e57815b9b3c38f471ae39ca345f27e1a56","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","529822e57815b9b3c38f471ae39ca345f27e1a56-0-09d535a01222659a5cecbbe594755c85c53aefb2"
"Technical Manuals/Data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","0.000","","","0.016","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","529822e57815b9b3c38f471ae39ca345f27e1a56-1-8f0b2704cb231a7b829bbb20beb28fec74a14618","529822e57815b9b3c38f471ae39ca345f27e1a56","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","529822e57815b9b3c38f471ae39ca345f27e1a56-0-09d535a01222659a5cecbbe594755c85c53aefb2"
"Peculiar Support Equipment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","0.000","","","0.009","","","0.098","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","529822e57815b9b3c38f471ae39ca345f27e1a56-2-b39e3d5116ea54c0def5a64b4e302b2fb1c4c352","529822e57815b9b3c38f471ae39ca345f27e1a56","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","529822e57815b9b3c38f471ae39ca345f27e1a56-0-09d535a01222659a5cecbbe594755c85c53aefb2"
"Initial Training/Cadre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","0.484","","","0.471","","","0.407","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","529822e57815b9b3c38f471ae39ca345f27e1a56-3-b2809cb16adf6a211d52b7d9c47bd7fc3a78f6d3","529822e57815b9b3c38f471ae39ca345f27e1a56","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","529822e57815b9b3c38f471ae39ca345f27e1a56-0-09d535a01222659a5cecbbe594755c85c53aefb2"
"Interim Contractor Support - Labor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","0.276","","","0.213","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","529822e57815b9b3c38f471ae39ca345f27e1a56-4-442e6682946c4a332b8265f51b5b91a78dda0e0b","529822e57815b9b3c38f471ae39ca345f27e1a56","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","529822e57815b9b3c38f471ae39ca345f27e1a56-0-09d535a01222659a5cecbbe594755c85c53aefb2"
"PRODUCTION ENGINEERING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.171","","","0.171","","","0.000","","","0.000","","","0.004","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-25694ad1636e63826b8f5ec9123fa9cf7b1407fe","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-1d77abb903da824a84386e15c9a5ca4c3a9056e1"
"QUALITY ASSURANCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.007","","","0.014","","","0.000","","","0.006","","","0.003","","","0.007","","","","","","","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-1-076dc53a288787487a172b95d71629ff9c94b7e7","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-1d77abb903da824a84386e15c9a5ca4c3a9056e1"
"PRODUCTION ENGINEERING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.021","","","0.021","","","0.000","","","0.02","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-fd12057cbea08dfc5603f36a16ec9e481077c23d","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-c00ff74ce721f44020557872c23a9b988f8cb57a"
"QUALITY ASSURANCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.013","","","0.013","","","0.000","","","0.006","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-1-2d5e07a727acfeb8b75b7cc0ee6536849a776c5f","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-c00ff74ce721f44020557872c23a9b988f8cb57a"
"PRODUCTION ENGINEERING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.139","","","0.139","","","0.000","","","0.052","","","0.034","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-75d1a9f88025d75c48b929cc76c57c5cba6a3a01","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-b9770edf3dee5e0a3c73ee4b144b222c5bc4fe50"
"QUALITY ASSURANCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.016","","","0.016","","","0.000","","","0.008","","","0.003","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-1-1753cccd3d978e7b23bdd18267e0be15c354d552","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-b9770edf3dee5e0a3c73ee4b144b222c5bc4fe50"
"PRODUCTION ENGINEERING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.023","","","0.023","","","0.000","","","0.02","","","0.225","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-505707592d280772fb3253ab7d4a97f1114a1f0d","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-82c8a58eaca4279b4f2ca4e3dd3c2c9dfca97646"
"QUALITY ASSURANCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.019","","","0.022","","","0.000","","","0.019","","","0.003","","","0.003","","","","","","","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-1-f1ed6daf3c0321cd6afb8732839cce6ecf9191d9","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-82c8a58eaca4279b4f2ca4e3dd3c2c9dfca97646"
"ENGINEERING CHANGE ORDERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","0.000","","","0.05","","","0.05","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-57f7738d130fba19ae48d43179c2bf14a46bc4ef","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-4778a59a47ae84cec4bacebe2f12d7f9c167ccd2"
"DIRECT MISSION SUPPORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","0.000","","","0.25","","","0.45","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-1-413787a158b2134bfb08ceb25d58c6493ac28cda","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-4778a59a47ae84cec4bacebe2f12d7f9c167ccd2"
"Joint Terminals Engineering Office","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","1.359","","","0.000","","","0.000","","","0.000","","","0.000","","","1.359","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","5315f2d74a1e93151c6a523f38c4844e7ac63081-0-88dd935f014025ee31903c73c31df8330e14ff4b","5315f2d74a1e93151c6a523f38c4844e7ac63081","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","5315f2d74a1e93151c6a523f38c4844e7ac63081-0-e73e836b64bd2c3870c9fa2ab994bd1de4af40c0"
"Program Office Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.222","","","0.222","","","42.299","","","8.229","","","7.715","","","0.000","","","0.248","","","59.667","","","0.228","","","0.234","","","0.242","","","0.25","","","","","","","","","5315f2d74a1e93151c6a523f38c4844e7ac63081-1-c1f1978125ebd5c24a90671d5b973a1a71a86128","5315f2d74a1e93151c6a523f38c4844e7ac63081","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","5315f2d74a1e93151c6a523f38c4844e7ac63081-0-e73e836b64bd2c3870c9fa2ab994bd1de4af40c0"
"Technical Analysis Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.385","","","1.385","","","55.268","","","18.71","","","12.409","","","0.000","","","1.071","","","93.398","","","1.448","","","0.99","","","1.039","","","1.078","","","","","","","","","5315f2d74a1e93151c6a523f38c4844e7ac63081-2-360ceb7b21210b403c6f85e112806d5a7656873d","5315f2d74a1e93151c6a523f38c4844e7ac63081","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","5315f2d74a1e93151c6a523f38c4844e7ac63081-0-e73e836b64bd2c3870c9fa2ab994bd1de4af40c0"
"Program Management Administration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.17","","","8.17","","","0.000","","","0.000","","","0.000","","","0.000","","","9.463","","","57.713","","","9.757","","","9.967","","","10.832","","","9.524","","","","","","","","","5315f2d74a1e93151c6a523f38c4844e7ac63081-3-f980efc91a4c5ae3948d93810d60c9aa2f32a5aa","5315f2d74a1e93151c6a523f38c4844e7ac63081","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","5315f2d74a1e93151c6a523f38c4844e7ac63081-0-e73e836b64bd2c3870c9fa2ab994bd1de4af40c0"
"1.  Production Test/Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.37","","","10.37","","","0.000","","","5.416","","","7.429","","","0.000","","","58.341","","","115.039","","","8.676","","","8.14","","","8.325","","","8.342","","","","","","","","","54199b84bdf33e0aa339017e2e6b783733ad5f70-0-c53cc60258f935a1b27cf87eb0b9aab79c9ff2f0","54199b84bdf33e0aa339017e2e6b783733ad5f70","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","54199b84bdf33e0aa339017e2e6b783733ad5f70-0-e44d3b5d535454a2d47529b91a3ec19d04da7e47"
"2.  Program Management Admin (Gov't Costs)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","","","1.3","","","0.000","","","1.209","","","1.279","","","0.000","","","10.594","","","19.823","","","1.322","","","1.352","","","1.379","","","1.388","","","","","","","","","54199b84bdf33e0aa339017e2e6b783733ad5f70-1-4d7973a3d5ee74920781d05e61a2853ceeb6aaad","54199b84bdf33e0aa339017e2e6b783733ad5f70","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","54199b84bdf33e0aa339017e2e6b783733ad5f70-0-e44d3b5d535454a2d47529b91a3ec19d04da7e47"
"3. Program Advisory & Assistance Services (Contr Suppt)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.123","","","0.123","","","0.000","","","0.116","","","0.119","","","0.000","","","1.054","","","1.934","","","0.126","","","0.129","","","0.132","","","0.135","","","","","","","","","54199b84bdf33e0aa339017e2e6b783733ad5f70-2-6fcce20d5af058a4e731d3b528ddae18e85fd955","54199b84bdf33e0aa339017e2e6b783733ad5f70","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","54199b84bdf33e0aa339017e2e6b783733ad5f70-0-e44d3b5d535454a2d47529b91a3ec19d04da7e47"
"1.  Training Equipment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.556","","","36.556","","","0.000","","","24.74","","","30.799","","","0.000","","","294.763","","","543.851","","","41.592","","","37.969","","","39.438","","","37.994","","","","","","","","","54199b84bdf33e0aa339017e2e6b783733ad5f70-3-21ae790f94d707f71f9ad446282086bb473c8fa5","54199b84bdf33e0aa339017e2e6b783733ad5f70","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","54199b84bdf33e0aa339017e2e6b783733ad5f70-0-e44d3b5d535454a2d47529b91a3ec19d04da7e47"
