"Name_val","Name_@footnote","CategoryList_Category","TotalCost_TotalCost_AllPriorYears_val","TotalCost_TotalCost_PriorYear_val","TotalCost_TotalCost_CurrentYear_val","TotalCost_TotalCost_BudgetYearOneBase_val","TotalCost_TotalCost_BudgetYearOneBase_@footnote","TotalCost_TotalCost_BudgetYearOneOCO_val","TotalCost_TotalCost_BudgetYearOne_val","TotalCost_TotalCost_BudgetYearTwo_val","TotalCost_TotalCost_BudgetYearThree_val","TotalCost_TotalCost_BudgetYearFour_val","TotalCost_TotalCost_BudgetYearFive_val","TotalCost_TotalCost_ToComplete_val","TotalCost_TotalCost_Total_val","TotalCost_TotalCost_Continuing_val","ModificationItemsIndicator_val","Remarks_val","OverallHistoryPlanningRemarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"AGM-88A Harm","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-f639d65c45777548c3826eb6bf555b2d17479326-0-15513b45b73c101188cb67f6f19c3013168fb1b0","71.101","0.58","0.297","0.197","","0","0.197","0","0","0","0","0","72.175","","true","","","f639d65c45777548c3826eb6bf555b2d17479326-0-4cef05508e615ac0031047d68965c74f238d49c8","f639d65c45777548c3826eb6bf555b2d17479326","root","f639d65c45777548c3826eb6bf555b2d17479326-67d18f19bfdafa58c7858414feb0fd01fa4cf989"
"Training Support Equipment","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-f6561e818eba53fa6787c9deace219e78379f6c7-0-eff34604bb810e048d68875d50a0b0de4d5829b4","34.848","22.527","22.046","7.468","","","7.468","","","","","","","","","","","f6561e818eba53fa6787c9deace219e78379f6c7-0-bc22f46eba8901ccc953d452588bd8958e027161","f6561e818eba53fa6787c9deace219e78379f6c7","root","f6561e818eba53fa6787c9deace219e78379f6c7-bc742b0123316541ae99606704b93f98956fdb5b"
"Productivity Capital Investment","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-f69a18f4169f83a4ed3d4a40b2728dcd6aa1e467-0-78949efaf09484e45424dfba0caf3ee74cde2b53","","1.227","2.495","","","","","","","","","","","","","","","f69a18f4169f83a4ed3d4a40b2728dcd6aa1e467-0-07ebb5327d85872b6ca5762250e799b5492e4e4d","f69a18f4169f83a4ed3d4a40b2728dcd6aa1e467","root","f69a18f4169f83a4ed3d4a40b2728dcd6aa1e467-f969ea02e74da237fc4fec8a4fadd5910167d801"
"1U030 Automatic Identification System (AIS)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-f69c486a0bcc629b3395fa9287725c4250e31d46-0-3efb2ac053e6ceb45ff9e7c96d1395ba0020339a","3.446","0.896","0.164","0.152","","","0.152","","","","","","","","","","","f69c486a0bcc629b3395fa9287725c4250e31d46-0-7acb2b755ea9f607ad85f85ffc332be242ba6591","f69c486a0bcc629b3395fa9287725c4250e31d46","root","f69c486a0bcc629b3395fa9287725c4250e31d46-af80585457be5444ab651e2eda099e74231aac9e"
"Other Production Charges","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-f77fbb42bd8aee1f9e9beb7928c9ccc950f51c62-0-bd5ad64ba0de5ed8f9f1b1feb22ac5983071cab7","190.868","5.268","5.63","2.455","","","2.455","","","","","","","","","","","f77fbb42bd8aee1f9e9beb7928c9ccc950f51c62-0-d42389e33eadc46c275690a6a7026d4ac959468f","f77fbb42bd8aee1f9e9beb7928c9ccc950f51c62","root","f77fbb42bd8aee1f9e9beb7928c9ccc950f51c62-f700681b079d71843a58aeb484c87aa988cbff63"
"E-4","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-f961a14b7272d77cac3809bd46eeb8ac2d822ffd-0-80ecb775c6aa3774c17ea1d2fb7e0d85bb62111f","117.48","12.964","9.884","11.972","","0","11.972","45.88","31.239","40.03","42.151","0","311.6","","true","","","f961a14b7272d77cac3809bd46eeb8ac2d822ffd-0-c072cd6732595bc68e7312563bd2ca2fbccac844","f961a14b7272d77cac3809bd46eeb8ac2d822ffd","root","f961a14b7272d77cac3809bd46eeb8ac2d822ffd-5b2438a5230cfd5698613890516c2d56e2bafcaa"
"","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-fa660048a1098d4b43023b6b468040d1fa25c52f-0-36963fc275d6a20ea44d07e2684aca4ee62f268b","3.393","1.012","0.945","7.5","","","7.5","","","","","","","","","","","fa660048a1098d4b43023b6b468040d1fa25c52f-0-3d7353a3f104e2f5d0e73d295bd5a1538d313531","fa660048a1098d4b43023b6b468040d1fa25c52f","root","fa660048a1098d4b43023b6b468040d1fa25c52f-c3ae16e4e26f0210e8d5f79bfe7a868ab3574330"
"LM-2500 Gas Turbine","The FY 2016 funding request was reduced by $3.208 million to account for the availability of prior year execution balances.","root.record.ItemExhibitList.P40AItemGroup.CategoryList-fa6cd53d35bc6728871dfc852b61d139ec26a9c8-0-47f999630e95e40718cb980a0e91d0066018718f","92.267","4.802","1.907","0.964","","","0.964","","","","","","","","","","","fa6cd53d35bc6728871dfc852b61d139ec26a9c8-0-8c5db819ec22166bed5f0cac7ba48d705695cb08","fa6cd53d35bc6728871dfc852b61d139ec26a9c8","root","fa6cd53d35bc6728871dfc852b61d139ec26a9c8-d95e4f2f44fc1bc9e8ec9bbb3dccf83ae39ea331"
"CG Modernization","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-fbd534d83e8be5619afd5abdd9e257c5058cc278-0-ad1c21def2438f433ea05eacd3519a22c7f521bd","586.388","10.539","","","","","","","","","","","","","","","","fbd534d83e8be5619afd5abdd9e257c5058cc278-0-ad6d89f70f69124bf9fb6ad381c2a4b51ff6fb96","fbd534d83e8be5619afd5abdd9e257c5058cc278","root","fbd534d83e8be5619afd5abdd9e257c5058cc278-6ddc383a4014673d4989e968da0c315f97b420e3"
"F-35 Modifications","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-fca77211d3d6b98bf06a1e72c768bc51e9985e7b-0-f6684005a465019874f8571034c85ed31a411478","11.093","0","0.861","0","","0","0","0","2.856","0","0","0","14.81","","true","","","fca77211d3d6b98bf06a1e72c768bc51e9985e7b-0-6ee36cb858b9e298f404c8ee9512a3ad0bbd1fcc","fca77211d3d6b98bf06a1e72c768bc51e9985e7b","root","fca77211d3d6b98bf06a1e72c768bc51e9985e7b-7d24092fedc5b36412590d7b672e2cf97dafc727"
"Motor Transport Modifications","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-fcfc779e6fe54167f1a06b204730cf9279edda14-0-87911cc2309462820fcc744c225166a9c28338f3","116.504","3.106","0.938","7.743","","","7.743","","","","","","","","","","","fcfc779e6fe54167f1a06b204730cf9279edda14-0-2a76a4e3e4bc6164f249139c75e980fdf891ad56","fcfc779e6fe54167f1a06b204730cf9279edda14","root","fcfc779e6fe54167f1a06b204730cf9279edda14-c6feb779934248da8d5653d4622c334e880c31fa"
"Jet Assisted Take Off (JATOs)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-fe1e5b81d16639e9c3df31c1bf719a7c919d386c-0-0027eab10cc4c07b494b3b9cc3555e50d8e759a2","58.962","2.749","","2.806","","","2.806","","","","","","","","","","","fe1e5b81d16639e9c3df31c1bf719a7c919d386c-0-f89539bcd1e81fb0c0571b94c89293822c39ed7c","fe1e5b81d16639e9c3df31c1bf719a7c919d386c","root","fe1e5b81d16639e9c3df31c1bf719a7c919d386c-76f9a77ead84edc567129e19e4be0d1401f2ff23"
"SPARES AND REPAIR PARTS","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-fe7420f22e1062ff59d302b3c49e61b2a98a961d-0-6e7a1e74682f0a5900196f57f11a5fadc42e9961","","0.499","0.494","0.503","","","0.503","","","","","","","","","","","fe7420f22e1062ff59d302b3c49e61b2a98a961d-0-83501d4e7a1c578827645921d333a6cfa1da1f4c","fe7420f22e1062ff59d302b3c49e61b2a98a961d","root","fe7420f22e1062ff59d302b3c49e61b2a98a961d-a663ad0928bbb351543401a01df26d72f046fbb8"
"SSN Combat Control Systems","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-ff34dea3d1d12bf1b3cc0a0d29797de2be5054b5-0-968d7d47f46683e4c1bf7d1076c1e398de46c29a","305.435","36.99","19.005","35.678","","","35.678","","","","","","","","","","","ff34dea3d1d12bf1b3cc0a0d29797de2be5054b5-0-471c9ffc5001237f2b8d84d54b1d1492ceaa891c","ff34dea3d1d12bf1b3cc0a0d29797de2be5054b5","root","ff34dea3d1d12bf1b3cc0a0d29797de2be5054b5-a5d61d0bdca5da8fbe8f66085add7bfb7f2ce955"
"C-40","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0042939b56567ff2fb3567d4a3f4d0094dfedc4f-0-8293419e0bffebaffc9ee8ebc906f2a1a9a544c1","","","","","","","","","","","","","","","","","","0042939b56567ff2fb3567d4a3f4d0094dfedc4f-0-0d4f223904b39036f09ff286ac462ce6491f5112","0042939b56567ff2fb3567d4a3f4d0094dfedc4f","root","0042939b56567ff2fb3567d4a3f4d0094dfedc4f-12e78e40437e33fa3943c8e2b97ee1c3bd696767"
"Strategic Platform Support Equip","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-00632caca6cf799df00e095393b2e824cd93f339-0-f6d7ff834a52810311c5ce305e6cae6343eb7b94","","","","","","","","","","","","","","","","","","00632caca6cf799df00e095393b2e824cd93f339-0-ea1eb940db3f23f6411b37db06e5f50fc3bf904a","00632caca6cf799df00e095393b2e824cd93f339","root","00632caca6cf799df00e095393b2e824cd93f339-e8b2ad82ff69313ca89b3812f8ac709b7ce701aa"
"Gen Purp Elec Test Equip (GPETE)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-00ca2de83023cc69b69aab63782bc3804901b7dd-0-622633017ebec0cae143f304193f8b090fd76f12","","","","","","","","","","","","","","","","","","00ca2de83023cc69b69aab63782bc3804901b7dd-0-b4a96c698c0b7cd9b7d436eab8f340ace90071de","00ca2de83023cc69b69aab63782bc3804901b7dd","root","00ca2de83023cc69b69aab63782bc3804901b7dd-7572274ee7e495763b76fd00bb41b2e16ced770e"
"B-2","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-00d39061bb6cf1a3704c757ddeffe08ad768d434-0-dca8ae2387d8c0cade7fb09f70fbf98bc386d965","","","","","","","","","","","","","","","","","","00d39061bb6cf1a3704c757ddeffe08ad768d434-0-4391f5dc6235de61ff449489002b96d1bcb4988e","00d39061bb6cf1a3704c757ddeffe08ad768d434","root","00d39061bb6cf1a3704c757ddeffe08ad768d434-c141433fcc489890b9ac6da9a48497c0d30b73c4"
"Surface Ship Torpedo Def (SSTD)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-00d6610f780a5c963973b7ab49a0c39b8024e7ce-0-8377ef8f5472c765a80d97c5b369703a582a15e6","","","","","","","","","","","","","","","","","","00d6610f780a5c963973b7ab49a0c39b8024e7ce-0-676530f0e81f928562cb3375e067b80d7dd778b1","00d6610f780a5c963973b7ab49a0c39b8024e7ce","root","00d6610f780a5c963973b7ab49a0c39b8024e7ce-335034e6b6275c389cc961536214420aa0e7ae66"
"","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-00e03117a2f36db8df403755e3e7fe96da443266-0-6b6761caf174bd2a186ddab64e25e9687755f680","","","","","","","","","","","","","","","","","","00e03117a2f36db8df403755e3e7fe96da443266-0-4292e9618c9ad0c537ef45cb4d182fa03b0ac3e0","00e03117a2f36db8df403755e3e7fe96da443266","root","00e03117a2f36db8df403755e3e7fe96da443266-8288cd3673c990bfbc913591b95464e2ceceb2e9"
"Distributed Common Ground System-Navy (DCGS-N)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-00f1c57921cd977eb3a83c29154ff7fc30663222-0-2b87c1001fbb2fc8679964f89358858078ba5584","","","","","","","","","","","","","","","","[DCGS-N INCREMENT 2] DCGS-N Increment 2 will improve DCGS-N Increment 1 through the integration of multi-INT fusion and analytical capabilities; provide Maritime Domain Awareness (MDA) capabilites; integrate Tasking, Collection, Processing, Exploitation, and Dissemination (TCPED) capabilities to improve the use and analysis of sensor and platform data; and share this information across commands, services, and agencies to promote shared situational awareness.[ICOP Afloat] Intelligence Carry-On Program (ICOP) focuses on providing ISR exploitation and dissemination capability to unit-level Submarine, Surface, and Expeditionary platforms.  ICOP provides a sustainable ISR capability fielded via Consolidated Afloat Network Enterprise Services (CANES) on an intelligence carry-on process.  Facilitates sharing of imagery/video from Navy's Unmanned Systems and Maritime Patrol sensor assets to reachback sites Maritime Operations Center (MOC) or National Maritime Intelligence Center (NMIC) for multi-intelligence analysis.  Unit level ISR capabilities support sharing of emerging organic/tactical platforms sensor information with the broader Fleet ISR enterprise.","","00f1c57921cd977eb3a83c29154ff7fc30663222-0-67b4d2aea44f8431e610a0f482a95e8f277c051a","00f1c57921cd977eb3a83c29154ff7fc30663222","root","00f1c57921cd977eb3a83c29154ff7fc30663222-0bba768f80393efd20a1615df9c5eeff73a62c7b"
"Tactical Vehicles","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-00fe42a9895d9e23ed1f7615a7510deffd42c971-0-5d476ec75dc71bdaa7936cc939e7b8d44855bbf4","","","","","","","","","","","","","","","","","","00fe42a9895d9e23ed1f7615a7510deffd42c971-0-6b6436822d2f49404757c17c2c96a57f7fde0019","00fe42a9895d9e23ed1f7615a7510deffd42c971","root","00fe42a9895d9e23ed1f7615a7510deffd42c971-8cc8861f71e413ce7b873c74848da68e9de3e2e9"
"Virginia Class Support Equipment","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0112a191fee000940dd74b41f8e653c5ef26cda0-0-c01538d8099e7eaaf98d1d97eb67341b0afaf79d","","","","","","","","","","","","","","","","","","0112a191fee000940dd74b41f8e653c5ef26cda0-0-26b85670583a4394e5085793d518e0b4df947ceb","0112a191fee000940dd74b41f8e653c5ef26cda0","root","0112a191fee000940dd74b41f8e653c5ef26cda0-f185772bade4753c39a33db2d237caa5393b3b41"
"Intelligence Support Equipment","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-015e564616cc79f80fa9b594f67b5ad626c598e2-0-c5a390863d0d0531612cc2422f74f5927f8d9859","","","","","","","","","","","","","","","","","","015e564616cc79f80fa9b594f67b5ad626c598e2-0-b45819e5ad8c16542739a3a58c8efca8d9506a41","015e564616cc79f80fa9b594f67b5ad626c598e2","root","015e564616cc79f80fa9b594f67b5ad626c598e2-e3c7486b4c2c23c9a2034a2dad2a05ac57036dfa"
"CAD/PAD","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-018f7c8a33a9d76d1455f18c98265cd8a7e85cec-0-d28f65b874a99909d0a51f45cf87f763ac364e19","","","","","","","","","","","","","","","","","","018f7c8a33a9d76d1455f18c98265cd8a7e85cec-0-eb83e10737c8fcdab7953c83918ea5a81e601fd4","018f7c8a33a9d76d1455f18c98265cd8a7e85cec","root","018f7c8a33a9d76d1455f18c98265cd8a7e85cec-27246abff26c4bd929d83674e6a12fd7611c4d45"
"Common Computer Resources","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-01b87e9a38b15bc54e95a52e950c87361b0cc3c8-0-1a558a781179fefe584754f77f9463838ccfe492","","","","","","","","","","","","","","","","[SECURE INTERNET PROTOCOL ROUTING NETWORK INFRASTRUCTURE (SIPRNET) ] * Unit costs are ranges.  IT equipment unit cost ranges from less than $100 per item to more than $20K.** SIPR Refresh unit cost includes workstations, servers, software and supporting infrastructure","","01b87e9a38b15bc54e95a52e950c87361b0cc3c8-0-917faaa4d3a96342c67c1e699fc8a1186bbc5415","01b87e9a38b15bc54e95a52e950c87361b0cc3c8","root","01b87e9a38b15bc54e95a52e950c87361b0cc3c8-17cd1c48e74943b42b5c9f0f2939f180a06598b4"
"Small Arms & Lndg Party Ammo","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-021265ba86f3e2a4528693a2564a419e2854fc52-0-0fb15dfe06185b77cbdd31cca44cc2a4c9980085","","","","","","","","","","","","","","","","","","021265ba86f3e2a4528693a2564a419e2854fc52-0-650039c67e1dcb5ad07924541116409c13d5986e","021265ba86f3e2a4528693a2564a419e2854fc52","root","021265ba86f3e2a4528693a2564a419e2854fc52-9237e596eeec06291070483786a5c9d28da8ac99"
"","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0273d320ace5cbe004aceffdc3a128d0d962e19e-0-585148225486a51f0da3cb4b40d0a366be3af611","","","","","","","","","","","","","","","","","","0273d320ace5cbe004aceffdc3a128d0d962e19e-0-9fb749768ddb953145873a14b4c2b23d26dc159d","0273d320ace5cbe004aceffdc3a128d0d962e19e","root","0273d320ace5cbe004aceffdc3a128d0d962e19e-54f4b7f18145773c05f3ac5f7940cfd76d5026cc"
"AEGIS Support Equipment","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-02a872a3c05394c6b7a1c9b251c16e0ff67d8f56-0-5f0b306cdb6212f6a7c8dca57ae0da26e624e344","","","","","","","","","","","","","","","","[L7007 Aegis Training and Readiness Center] FY13 and FY14 funding is for Advanced Capability Build-12 (ACB-12) equipment upgrades at the AEGIS Training and Readiness Center to support Fleet introduction and training of ACB-12.","","02a872a3c05394c6b7a1c9b251c16e0ff67d8f56-0-df486b64be1de59ee5fdb1418f65b1fd8a843ea1","02a872a3c05394c6b7a1c9b251c16e0ff67d8f56","root","02a872a3c05394c6b7a1c9b251c16e0ff67d8f56-1bbfa0b338f7558fe6931c8b1c53b46b46f8f856"
"AUTOMATIC TEST EQUIPMENT","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-02e6329125496ba17387967d3a85237b7cd4ad8d-0-212e67081ed31ceb640f143ae6942752a3d87099","","","","","","","","","","","","","","","","","","02e6329125496ba17387967d3a85237b7cd4ad8d-0-405189ccc292515d57cb38f11827cca18bbcd959","02e6329125496ba17387967d3a85237b7cd4ad8d","root","02e6329125496ba17387967d3a85237b7cd4ad8d-108624410fd7aff00d3398f47de13287fac555d0"
"A/C COMMON SUPPORT EQUIPMENT","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-02e6329125496ba17387967d3a85237b7cd4ad8d-1-7bb0e352a12174e9d61df9453fd63135f3925def","","","","","","","","","","","","","","","","","","02e6329125496ba17387967d3a85237b7cd4ad8d-1-988ef2a8c5680e7e7b295093969e94e4ac1720c0","02e6329125496ba17387967d3a85237b7cd4ad8d","root","02e6329125496ba17387967d3a85237b7cd4ad8d-108624410fd7aff00d3398f47de13287fac555d0"
"ICP/HEADQUARTERS MANAGED SUPPORT EQUIPMENT","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-02e6329125496ba17387967d3a85237b7cd4ad8d-2-7928f612bf88337dba181ba26809644e209b0074","","","","","","","","","","","","","","","","","","02e6329125496ba17387967d3a85237b7cd4ad8d-2-d27f354482527299bace7cb84aef80ece8c5af88","02e6329125496ba17387967d3a85237b7cd4ad8d","root","02e6329125496ba17387967d3a85237b7cd4ad8d-108624410fd7aff00d3398f47de13287fac555d0"
"CONSOLIDATED AUTOMATED SUPPORT SYSTEM","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-02e6329125496ba17387967d3a85237b7cd4ad8d-3-f0068be255750e258d38cf160ba21fafe559b490","","","","","","","","","","","","","","","","","","02e6329125496ba17387967d3a85237b7cd4ad8d-3-d25b0aa217c0cd4c154695fa157c05e01d46c5d4","02e6329125496ba17387967d3a85237b7cd4ad8d","root","02e6329125496ba17387967d3a85237b7cd4ad8d-108624410fd7aff00d3398f47de13287fac555d0"
"MOBILE MAINTENANCE FACILITIES","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-02e6329125496ba17387967d3a85237b7cd4ad8d-4-b7ece3b9247f64089a8b5b3390203400544a1452","","","","","","","","","","","","","","","","","","02e6329125496ba17387967d3a85237b7cd4ad8d-4-9e776cfb592235f810c98e02fc63af7c40a7e29f","02e6329125496ba17387967d3a85237b7cd4ad8d","root","02e6329125496ba17387967d3a85237b7cd4ad8d-108624410fd7aff00d3398f47de13287fac555d0"
"GENERAL SKILLS TRAINING","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-02e6329125496ba17387967d3a85237b7cd4ad8d-5-3e8d890ce5ad41153748ba92e3aef0efb42a0a16","","","","","","","","","","","","","","","","","","02e6329125496ba17387967d3a85237b7cd4ad8d-5-25fbcdcd8a0241fb3f806f25c8147d92b1556cd0","02e6329125496ba17387967d3a85237b7cd4ad8d","root","02e6329125496ba17387967d3a85237b7cd4ad8d-108624410fd7aff00d3398f47de13287fac555d0"
"TOPSCENE","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-02e6329125496ba17387967d3a85237b7cd4ad8d-6-56ce6383c6ec1fa47f434de5d0f88b2c8f0b305c","","","","","","","","","","","","","","","","","","02e6329125496ba17387967d3a85237b7cd4ad8d-6-239d419d4ed9cb1703fdc734a81b2545654b829b","02e6329125496ba17387967d3a85237b7cd4ad8d","root","02e6329125496ba17387967d3a85237b7cd4ad8d-108624410fd7aff00d3398f47de13287fac555d0"
"OTHER FLIGHT TRAINING","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-02e6329125496ba17387967d3a85237b7cd4ad8d-7-38e96cadb9152dbcb6516722b74103a2ce647c8e","","","","","","","","","","","","","","","","","","02e6329125496ba17387967d3a85237b7cd4ad8d-7-f8eb493b2e6f9c055be5872e55fc9b8295851db7","02e6329125496ba17387967d3a85237b7cd4ad8d","root","02e6329125496ba17387967d3a85237b7cd4ad8d-108624410fd7aff00d3398f47de13287fac555d0"
"Passenger Carrying Vehicles","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-033ccbffa32b4e48f9260684d16b469ba4756428-0-3498a532a6610dc3dcd15d189a880f13935fbba7","","","","","","","","","","","","","","","","","","033ccbffa32b4e48f9260684d16b469ba4756428-0-de1de509c7ffabb6b2e8dee0a8b90bc2e90ca5ed","033ccbffa32b4e48f9260684d16b469ba4756428","root","033ccbffa32b4e48f9260684d16b469ba4756428-3376d2ee2aa243c448efa682db14f7b654d48fc5"
"DCMA Related Technical Activities","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-033ccbffa32b4e48f9260684d16b469ba4756428-1-1e7b8fb79029335e74b3768f22320a461964f42d","","","","","","","","","","","","","","","","","","033ccbffa32b4e48f9260684d16b469ba4756428-1-c529a2d12e83a7a8430f3c2e5a663bb9ff12f6a6","033ccbffa32b4e48f9260684d16b469ba4756428","root","033ccbffa32b4e48f9260684d16b469ba4756428-3376d2ee2aa243c448efa682db14f7b654d48fc5"
"","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0341a7ed47a63462d851bb55340c74b3ea2c043c-0-9702e101bc4be911ec8995cd250a058728be1a78","","","","","","","","","","","","","","","","","","0341a7ed47a63462d851bb55340c74b3ea2c043c-0-08b86737cecf28e1b982d3e3f533fb95ad58fa50","0341a7ed47a63462d851bb55340c74b3ea2c043c","root","0341a7ed47a63462d851bb55340c74b3ea2c043c-ee23953adcf8c31147fbd528166bd79ce08a980f"
"Intermediate Caliber Gun Ammo","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0471989b8e7d4365ef344c76c88d8e7976fed619-0-2f5105603f420c3f1a5d6de594b5fe0ac49eb8f1","","","","","","","","","","","","","","","","","","0471989b8e7d4365ef344c76c88d8e7976fed619-0-78f42f2c42f21c601da4677cb7a923c0c73240eb","0471989b8e7d4365ef344c76c88d8e7976fed619","root","0471989b8e7d4365ef344c76c88d8e7976fed619-50d294e871c7bd3a88f843fde303488d77c00e9b"
"Bridge Boats","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-04f801d894351c383edcfc97411c1674ce693e60-0-7eb1d6920737b14c003c7ef1a8375385fefe12aa","","","","","","","","","","","","","","","","","","04f801d894351c383edcfc97411c1674ce693e60-0-5b5fff8f6ea32827a2c30e08ba3c93a35ec821b4","04f801d894351c383edcfc97411c1674ce693e60","root","04f801d894351c383edcfc97411c1674ce693e60-929a1ec6e366f9d0f0422ee4c2766b1db2c58bec"
"","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-04fc397e76d5069626c488b6737f27181aaaa26b-0-14123121f91ce8ecd6451cf99e3c3acd4dd99e6f","","","","","","","","","","","","","","","","","","04fc397e76d5069626c488b6737f27181aaaa26b-0-2b5508575d05ba39d80b7cba6cfb77b48b45b2f0","04fc397e76d5069626c488b6737f27181aaaa26b","root","04fc397e76d5069626c488b6737f27181aaaa26b-27dfa0c0a8aa30a50b9d4f34f94d54281fb538fd"
"Air Launch & Recovery Equip","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-056ad998f7bd92713dc545127db83d56783e7480-0-90d8fb7bdad769d9881b1572f99273945c90f0a7","","","","","","","","","","","","","","","","","","056ad998f7bd92713dc545127db83d56783e7480-0-25db7b50c6b8a3f4f890fececa2a38f233bf1958","056ad998f7bd92713dc545127db83d56783e7480","root","056ad998f7bd92713dc545127db83d56783e7480-a7ebf9f710eef5a7ad9d9c9ff41cc9144ed83e6e"
"Materials Handling Equipment","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-05ce420c06c9ff563f95198be6c420c0a97dc0b5-0-c47a7a01ec42f74b3fc708c4b0a4253e83e00f31","","","","","","","","","","","","","","","","","","05ce420c06c9ff563f95198be6c420c0a97dc0b5-0-8152d337dbeaf5e04cb6274b519f718d7add4d96","05ce420c06c9ff563f95198be6c420c0a97dc0b5","root","05ce420c06c9ff563f95198be6c420c0a97dc0b5-01435bd8be286be2f132142d0577973b559de6de"
"Tactical Vehicles","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0613327fb9e96fd43c5ca6722dd624ec45755d62-0-52e874a43f676bd7afb154fe438a50f937aa7f93","","","","","","","","","","","","","","","","","","0613327fb9e96fd43c5ca6722dd624ec45755d62-0-9bb29d4b5a53bb84d0747eb8abac52b9d385d720","0613327fb9e96fd43c5ca6722dd624ec45755d62","root","0613327fb9e96fd43c5ca6722dd624ec45755d62-e844a2cca13e98f9b956af96b89177ab171c6896"
"","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-06bfd568459d6e9ee84fdc2e72cb2d6870b86afc-0-f574c0aee1a5d0ccd03233e8b5988e2d35bd7165","","","","","","","","","","","","","","","","","","06bfd568459d6e9ee84fdc2e72cb2d6870b86afc-0-4853dbf8fbba3f466b62f91846ad40cf9dd1a791","06bfd568459d6e9ee84fdc2e72cb2d6870b86afc","root","06bfd568459d6e9ee84fdc2e72cb2d6870b86afc-93864cc79f7209ad28206c618c7549ca3624384b"
"","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-074673c33c3c3acb029da261dc54ee670c670e2a-0-6323793ec66cef56ad25835ca4e1f78b4b6af6a2","","","","","","","","","","","","","","","","","","074673c33c3c3acb029da261dc54ee670c670e2a-0-0d60e82ba9ac356e27e3a041485ca294d7167368","074673c33c3c3acb029da261dc54ee670c670e2a","root","074673c33c3c3acb029da261dc54ee670c670e2a-f5a07ac293b43e7fcffea27aa561dd12d3baf344"
"","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-075b9fc8e4749d3dfa14ca1e4fa6185dd076d430-0-a99977f13abe9adf489dc27e8646757099198af9","","","","","","","","","","","","","","","","","","075b9fc8e4749d3dfa14ca1e4fa6185dd076d430-0-2609cac623bb99b78bd2cb431fa4fff026e109d5","075b9fc8e4749d3dfa14ca1e4fa6185dd076d430","root","075b9fc8e4749d3dfa14ca1e4fa6185dd076d430-2b1e1a878217f7489a6f9a12e05af3b090cbd7ab"
